rank,year,make,model,trim,price,mileage,engine,fuel,dealer,dealer_address,location,distance_km,distance_method,listing_id,url,score
1,2016,Ford,F 350,XLT | 6.7L DIESEL | CREW CAB | 4WD | BED LINER,30900,Unknown,6.7L,Diesel,Stampede Auto,,"Calgary, AB",149,city_center,5d62f35e-2a28-479f-bdab-6a9bc1b677bd,https://www.autotrader.ca/a/ford/f-350/5d62f35e-2a28-479f-bdab-6a9bc1b677bd/,0.5872559754660378
2,2015,Ford,F 350,LARIAT | 6.7L DIESEL | CREW CAB | 4X4,31900,Unknown,6.7L,Diesel,Stampede Auto,,"Calgary, AB",149,city_center,7ed630d0-56dd-4703-a19d-c2fab5ad6e14,https://www.autotrader.ca/a/ford/f-350/7ed630d0-56dd-4703-a19d-c2fab5ad6e14/,0.597265150543192
3,2018,Ford,F 350,XLT // NO ACCIDENTS // DELETED,25997,Unknown,6.7L,Diesel,Rivershore Chrysler Dodge Jeep,,"Kamloops, BC",757,city_center,b9249fc6-2d12-452b-8911-9bd123f97fb7,https://www.autotrader.ca/a/ford/f-350/b9249fc6-2d12-452b-8911-9bd123f97fb7/,0.6523236684106865
4,2018,Ford,F 350,Platinum 4WD Crew Cab 6.75' Box,40500,Unknown,6.7L,Diesel,Mr. Motors,,"Red Deer, AB",1,city_center,87ef6be5-e9e4-4b6e-82b4-1f417d058cf0,https://www.autotrader.ca/a/ford/f-350/87ef6be5-e9e4-4b6e-82b4-1f417d058cf0/,0.6555593252930748
5,2016,Ford,F 350,SRW,34694,Unknown,6.7L,Diesel,Grande Prairie Chrysler Jeep Dodge,,"GRANDE PRAIRIE, AB",579,city_center,e5b0949c-f67f-43ff-a518-d555a26fa206,https://www.autotrader.ca/a/ford/f-350/e5b0949c-f67f-43ff-a518-d555a26fa206/,0.7059566930929907
6,2019,Ford,F 350,XLT,37995,Unknown,6.7L,Diesel,Cypress Motors SC,,"SWIFT CURRENT, SK",628,city_center,41c2a9bf-09b9-469e-95a3-c19cd5b45d47,https://www.autotrader.ca/a/ford/f-350/41c2a9bf-09b9-469e-95a3-c19cd5b45d47/,0.7481959787711118
7,2016,Ford,F 350,Lariat  HEATED LEATHER SEATS - 6.7L DIESEL ENGINE,46993,Unknown,6.7L,Diesel,Northstar Ford Calgary,,"CALGARY, AB",149,city_center,d4ace724-5b71-4d5a-8b26-fc3bd706e44f,https://www.autotrader.ca/a/ford/f-350/d4ace724-5b71-4d5a-8b26-fc3bd706e44f/,0.7483336299826782
8,2022,Ford,F 350,XLT,49888,Unknown,6.7L,Diesel,Adrenalin Motors,,"Sylvan Lake, AB",25,city_center,bdecfc30-c615-4bb6-9900-622d90fa06ca,https://www.autotrader.ca/a/ford/f-350/bdecfc30-c615-4bb6-9900-622d90fa06ca/,0.7540310929574471
9,2020,Ford,F 350,"XLT CLEAN CARFAX, 5TH WHEEL PREP, XLT VALUE PACKAG",49688,Unknown,6.7L,Diesel,Cam Clark Ford Olds,,"OLDS, AB",63,city_center,9cb85959-d4c2-4ff8-9c80-78e333dddabc,https://www.autotrader.ca/a/ford/f-350/9cb85959-d4c2-4ff8-9c80-78e333dddabc/,0.7591631753387622
10,2022,Ford,F 350,Lariat   - NO FEES!,49990,Unknown,6.7L,Diesel,Xtreme Auto and Truck Sales Ltd Barlow,,"Calgary, AB",149,city_center,045b955f-7432-4fa3-b645-c7e1719f59d1,https://www.autotrader.ca/a/ford/f-350/045b955f-7432-4fa3-b645-c7e1719f59d1/,0.7783311276889089
11,2018,Ford,F 350,PLATINUM | FENDER FLARES | PUSH BUMPER | LED LIGHT,49995,Unknown,6.7L,Diesel,Maclin Ford,,"CALGARY, AB",149,city_center,1cc17c85-b473-4537-a780-c0ad7e493f41,https://www.autotrader.ca/a/ford/f-350/1cc17c85-b473-4537-a780-c0ad7e493f41/,0.7783811735642946
12,2018,Ford,F 350,CREWCAB,44998,Unknown,6.7L,Diesel,Cypress Motors MC,,"MAPLE CREEK, SK",508,city_center,30c37942-bd64-4fe3-98b4-9c82ef87c7d6,https://www.autotrader.ca/a/ford/f-350/30c37942-bd64-4fe3-98b4-9c82ef87c7d6/,0.7957620716361713
13,2020,Ford,F 350,XL,49888,Unknown,6.7L,Diesel,Medicine Hat House of Cars Inc.,,"Medicine Hat, AB",406,city_center,0dd30877-e0fa-4d69-9c8e-0f2eaab972cd,https://www.autotrader.ca/a/ford/f-350/0dd30877-e0fa-4d69-9c8e-0f2eaab972cd/,0.8255580015932418
14,2021,Ford,F 350,LARIAT LEATHER NAV PANO 5TH WHEEL PREP 8' BOX,54995,Unknown,6.7L,Diesel,Auto Hub,,"Calgary, AB",149,city_center,19d5d1f0-2beb-47df-bd3e-54d44ec032d7,https://www.autotrader.ca/a/ford/f-350/19d5d1f0-2beb-47df-bd3e-54d44ec032d7/,0.8284270489500649
15,2020,Ford,F 350,"XLT LARIAT ULTIMATE PACKAGE, AFTERMARKET RIMS, QUA",56888,Unknown,6.7L,Diesel,Cam Clark Ford Olds,,"OLDS, AB",63,city_center,16d53fb8-ff69-4620-82e8-9582e959acbd,https://www.autotrader.ca/a/ford/f-350/16d53fb8-ff69-4620-82e8-9582e959acbd/,0.8312292358942714
16,2020,Ford,F 350,,50596,Unknown,6.7L,Diesel,Sun Valley Honda,,"Medicine Hat, AB",406,city_center,05179af1-420d-4358-8982-a1f5eecd9336,https://www.autotrader.ca/a/ford/f-350/05179af1-420d-4358-8982-a1f5eecd9336/,0.8326444975478668
17,2022,Ford,F 350,XLT FX4 6.7L Powerstroke | Heated Seats,55980,Unknown,6.7L,Diesel,Sherwood Park Chevrolet,,"SHERWOOD PARK, AB",162,city_center,872b20c5-35ea-426c-95cd-fece602381c9,https://www.autotrader.ca/a/ford/f-350/872b20c5-35ea-426c-95cd-fece602381c9/,0.840726637089422
18,2020,Ford,F 350,LARIAT | 6.7L POWERSTROKE | DELETED | 618A | TREMO,56695,Unknown,6.7L,Diesel,Shaw GMC Chevrolet Buick Inc.,,"CALGARY, AB",149,city_center,dfe2ddce-a578-45cb-8632-f44c055eee47,https://www.autotrader.ca/a/ford/f-350/dfe2ddce-a578-45cb-8632-f44c055eee47/,0.8454426465812268
19,2022,Ford,F 350,XLT - REMOTE START BACKUP CAM,57998,Unknown,6.7L,Diesel,Okotoks Chevrolet Buick GMC Ltd.,,"OKOTOKS, AB",187,city_center,b1a9c330-1114-441d-8353-d97b5a58dc2a,https://www.autotrader.ca/a/ford/f-350/b1a9c330-1114-441d-8353-d97b5a58dc2a/,0.8656185191035044
20,2020,Ford,F 350,Lariat 6.7L Diesel/Touch Nav/Pano/Camera,59945,Unknown,6.7L,Diesel,D&D Vehicle Sales Inc,,"CAMROSE, AB",141,city_center,561ac945-5cf4-4d75-a9c9-644082c26e32,https://www.autotrader.ca/a/ford/f-350/561ac945-5cf4-4d75-a9c9-644082c26e32/,0.8764705882352941
21,2022,Ford,F 350,"6.7L V8 Diesel, Long Box",56583,Unknown,6.7L,Diesel,Davis Dodge Lethbridge,,"LETHBRIDGE, AB",354,city_center,e3b5e1f9-82c5-40bd-96b0-d11a53ba8cc6,https://www.autotrader.ca/a/ford/f-350/e3b5e1f9-82c5-40bd-96b0-d11a53ba8cc6/,0.8828072259813464
22,2019,Ford,F 350,Lariat - 4x4 - 6.7L POWERSTROKE,57495,Unknown,6.7L,Diesel,Saskatoon Auto Connection,,"SASKATOON, SK",538,city_center,bf33ff5b-6d8c-4fa7-b700-8cc34b62b85d,https://www.autotrader.ca/a/ford/f-350/bf33ff5b-6d8c-4fa7-b700-8cc34b62b85d/,0.9264787726254282
23,2022,Ford,F 350,FORD F-350 SUPER DUTY | 4X4 | CREW CAB | POWER STR,53995,Unknown,6.7L,Diesel,Dearborn Ford,,"KAMLOOPS, BC",757,city_center,eb7609a3-e829-426b-b8de-3ce9586f8495,https://www.autotrader.ca/a/ford/f-350/eb7609a3-e829-426b-b8de-3ce9586f8495/,0.9325605522208458
24,2020,Ford,F 350,XLT Crew Cab,56403,Unknown,6.7L,Diesel,Velocity Ford,,"Moose Jaw, SK",799,city_center,22a8e54c-e6d9-4465-8ae2-1d7e93b16be2,https://www.autotrader.ca/a/ford/f-350/22a8e54c-e6d9-4465-8ae2-1d7e93b16be2/,0.9645475018767203
25,2019,Ford,F 350,4X4 | POWERSTROKE | CREW CAB | LONG HAUL & TOW REA,57995,Unknown,6.7L,Diesel,Dearborn Ford,,"KAMLOOPS, BC",757,city_center,20be9304-df39-4ed3-a35b-d813494f94b1,https://www.autotrader.ca/a/ford/f-350/20be9304-df39-4ed3-a35b-d813494f94b1/,0.9725972525294619
26,2020,Ford,F 350,PLATINUM | 4x4 | 6.7L POWER STROKE DIESEL | SD CRE,58995,Unknown,6.7L,Diesel,Dearborn Ford,,"KAMLOOPS, BC",757,city_center,a56c88be-7cac-4a6e-937b-16c2401ca2b1,https://www.autotrader.ca/a/ford/f-350/a56c88be-7cac-4a6e-937b-16c2401ca2b1/,0.9826064276066161
