rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url_region_hint,url_region_status,url,score,source
1,2016,Ford,F-150,xl,1,123,No change noted,First seen this week,0,123,123,0,0,202500,Unknown,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1740566948,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2016-ford-f150-3-5-twin-turbo-super-crew-4x4/1740566948,,Kijiji
2,2016,Ford,F-150,Unknown,1,9899,No change noted,First seen this week,0,9899,9899,0,0,380,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1740556231,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2016-f-160/1740556231,,Kijiji
3,2016,Ford,F-150,xlt,2,10990,No change noted,Unchanged for 9 weeks,9,10990,10990,0,0,294926,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1734927153,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-150-xlt-no-fees/1734927153,,Kijiji
4,2016,Ford,F-150,Unknown,1,11000,No change noted,Unchanged for 2 weeks,2,11000,11000,0,0,221646,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1740051929,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-150/1740051929,,Kijiji
5,2016,Ford,F-150,xlt,2,11500,No change noted,Unchanged for 9 weeks,9,11500,11500,0,0,183500,Unknown,Gas,Unknown,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",,disabled_unverified_location,1736141813,ottawa,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-ford-f-150/1736141813,,Kijiji
6,2016,Ford,F-150,Unknown,1,11750,No change noted,Unchanged for 8 weeks,8,11750,11750,0,0,260000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1738056310,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/ford-f150/1738056310,,Kijiji
7,2016,Ford,F-150,fx4,3,15000,No change noted,"Down $1,000 over 9 weeks",9,16000,15000,0,-1000,282000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",,disabled_unverified_location,1736954587,ottawa,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-f150-fx4-sport-super-crewcab/1736954587,,Kijiji
8,2016,Ford,F-150,xlt,2,15900,No change noted,First seen this week,0,15900,15900,0,0,191000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1740628359,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2016-ford-f150-ext-cab-4x4-clean-title-saftied-15900/1740628359,,Kijiji
9,2016,Ford,F-150,xlt,2,16888,No change noted,Unchanged for 1 weeks,1,16888,16888,0,0,227495,5.0L,Gas,Unknown,N/A,Unknown,Dealer,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740057783,city-of-toronto,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2016-ford-f-150-xlt-5-0l-4x4/1740057783,,Kijiji
10,2016,Ford,F-150,xlt,2,16995,No change noted,Unchanged for 2 weeks,2,16995,16995,0,0,240549,5.0L,Gas,Unknown,N/A,Unknown,Private,"Saskatoon, SK","Saskatoon, SK",,disabled_unverified_location,1740378616,saskatoon,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/saskatoon/2016-ford-f-150-xlt-crew-cab-5-0l-v8-command-start-power-sea/1740378616,,Kijiji
11,2016,Ford,F-150,xlt,2,17000,No change noted,First seen this week,0,17000,17000,0,0,249000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1740711227,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/ford-f150-xlt-4x4/1740711227,,Kijiji
12,2016,Ford,F-150,xlt,2,17500,No change noted,First seen this week,0,17500,17500,0,0,216100,5.0L,Gas,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1740904119,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2016-ford-f-150-xlt-crew-cab-5-0l-v8-4x4-6-5ft-long-box-216k/1740904119,,Kijiji
13,2016,Ford,F-150,xlt,2,17750,No change noted,First seen this week,0,17750,17750,0,0,253999,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1740886106,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2016-f150-safetied-engine-re-built-new-phasers-chains-gaskets/1740886106,,Kijiji
14,2016,Ford,F-150,fx4,3,18000,No change noted,"Down $1,000 over 2 weeks",2,19000,18000,0,-1000,196000,2.7L,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1739917203,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f150-fx4-2-7l/1739917203,,Kijiji
15,2016,Ford,F-150,sport,2,18990,No change noted,Unchanged for 3 weeks,3,18990,18990,0,0,216500,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739777021,mississauga-peel-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2016-ford-f-150-v8-sports-4x4-5-5ft-box-supercrew/1739777021,,Kijiji
16,2016,Ford,F-150,xlt,2,19500,No change noted,Unchanged for 1 weeks,1,19500,19500,0,0,229825,Unknown,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1740458728,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2016-ford-f150-4x4-super-crew/1740458728,,Kijiji
17,2016,Ford,F-150,xlt,2,19500,No change noted,Unchanged for 1 weeks,1,19500,19500,0,0,229832,Unknown,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1740469575,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2016-ford-f150-3-5-eco-boost-carfax-available/1740469575,,Kijiji
18,2016,Ford,F-150,xlt,2,19995,No change noted,Unchanged for 9 weeks,9,19995,19995,0,0,189501,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1733781408,ottawa,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-ford-f-150/1733781408,,Kijiji
19,2016,Ford,F-150,xlt,2,19995,No change noted,Unchanged for 3 weeks,3,19995,19995,0,0,204400,Unknown,Gas,No accidents reported,N/A,Unknown,Dealer,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739428761,london,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/london/ford-f-150/1739428761,,Kijiji
20,2016,Ford,F-150,xlt,2,19995,No change noted,Unchanged for 3 weeks,3,19995,19995,0,0,223417,2.7L,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1739736726,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-150-xlt-2-7l-ecoboost-300a-3-73-trailer-tow/1739736726,,Kijiji
21,2016,Ford,F-150,lariat,3,19999,No change noted,Unchanged for 2 weeks,2,19999,19999,0,0,1,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Olds, AB","Olds, AB",,disabled_unverified_location,1740416468,medicine-hat,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/medicine-hat/2016-ford-f-150-lariat/1740416468,,Kijiji
