rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2016,Ford,F 150,XLT | One Owner | Twin Turbo,2,15772,No change noted,First seen this week,0,15772,15772,0,0,216842,3.5L,Gasoline,Unknown,N/A,Red Deer Volkswagen,Dealer,"7 Mckenzie Drive, Red Deer, AB, T4S 2H4","Red Deer, AB",11,address,124c246e-25e5-45f7-b907-84a76d724f31,https://www.autotrader.ca/offers/ford-f-150-xlt--one-owner--twin-turbo-gasoline-white-124c246e-25e5-45f7-b907-84a76d724f31,0.2528883248698158,AutoTrader
2,2018,Ford,F 150,Lariat,3,25700,No change noted,First seen this week,0,25700,25700,0,0,177500,3.5L,Gasoline,Unknown,N/A,Aspen Ford Sales Ltd.,Dealer,"4402 - 42 St., STETTLER, AB, T0C2L0","STETTLER, AB",82,address,01143830-28f3-40d5-9571-1cee5e0af713,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-red-01143830-28f3-40d5-9571-1cee5e0af713,0.26589886173994187,AutoTrader
3,2019,Ford,F 150,Lariat,3,27488,No change noted,First seen this week,0,27488,27488,0,0,172866,2.7L,Gasoline,Unknown,N/A,Cam Clark Ford Olds,Dealer,"5042 48 th Street, OLDS, AB, T4H0C6","OLDS, AB",63,city_center,b01cd4c5-292a-4fe9-9de9-10a5776d76e7,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-b01cd4c5-292a-4fe9-9de9-10a5776d76e7,0.2762835681129179,AutoTrader
4,2018,Ford,F 150,LARIAT | Clean Carfax | 3.5L V6,3,29697,No change noted,First seen this week,0,29697,29697,0,0,164316,3.5L,Gasoline,No accidents reported,N/A,Red Deer Volkswagen,Dealer,"7 Mckenzie Drive, Red Deer, AB, T4S 2H4","Red Deer, AB",11,address,d9fe3a0d-0e39-446b-8707-d1b783d7221d,https://www.autotrader.ca/offers/ford-f-150-lariat--clean-carfax--3-5l-v6-gasoline-white-d9fe3a0d-0e39-446b-8707-d1b783d7221d,0.28317981410827914,AutoTrader
5,2018,Ford,F 150,XLT,2,21895,No change noted,First seen this week,0,21895,21895,0,0,245606,3.5L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,6cce10ac-9984-48fa-8191-a83d0e3819ba,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-6cce10ac-9984-48fa-8191-a83d0e3819ba,0.30792484093209904,AutoTrader
6,2019,Ford,F 150,Lariat SuperCrew | Longbox | Twin Panel Moonroof,3,29795,No change noted,First seen this week,0,29795,29795,0,0,159123,3.5L,Gasoline,Accident reported,N/A,Courtesy Chrysler Dodge Jeep Ram,Dealer,"125 Glendeer Circle S.E., CALGARY, AB, T2H2S8","CALGARY, AB",149,city_center,23effe0e-bdfb-4727-84dc-b943819c4772,https://www.autotrader.ca/offers/ford-f-150-lariat-supercrew--longbox--twin-panel-moonroof-gasoline-white-23effe0e-bdfb-4727-84dc-b943819c4772,0.3088408676323295,AutoTrader
7,2016,Ford,F 150,Lariat - 4x4 - 501A - FX4 - SK TRUCK,3,18999,No change noted,First seen this week,0,18999,18999,0,0,248667,3.5L,Gasoline,Unknown,N/A,Saskatoon Auto Connection,Dealer,"139A 105th Street East, SASKATOON, SK, S7N1Z2","SASKATOON, SK",546,address,3accf5e8-8f8a-481d-95f5-fa0c3bb717e8,https://www.autotrader.ca/offers/ford-f-150-lariat-4x4-501a-fx4-sk-truck-gasoline-black-3accf5e8-8f8a-481d-95f5-fa0c3bb717e8,0.3117330886021994,AutoTrader
8,2018,Ford,F 150,Platinum  - Navigation -  Leather Seats,3,33999,No change noted,First seen this week,0,33999,33999,0,0,136427,3.5L,Gasoline,Unknown,N/A,Legacy Ford Ponoka,Dealer,"6305 - 42 Avenue, PONOKA, AB, T4J1J8","PONOKA, AB",54,address,941fbd6c-9b58-424b-a380-3cac3df0011c,https://www.autotrader.ca/offers/ford-f-150-platinum-navigation-leather-seats-gasoline-red-941fbd6c-9b58-424b-a380-3cac3df0011c,0.32139410319634315,AutoTrader
9,2019,Ford,F 150,LARIAT 4WD SUPERCREW BACKUP CAMERA NAVIGATION PUSH,3,31988,"Reduced from $ 32,988,-",First seen this week,0,31988,31988,0,0,133990,3.5L,Gasoline,Unknown,N/A,Auto House,Dealer,"2404 23rd Ave NE, CALGARY, AB, T2E8J4","CALGARY, AB",149,city_center,3f068692-f456-4dfb-8b26-82619990cc68,https://www.autotrader.ca/offers/ford-f-150-lariat-4wd-supercrew-backup-camera-navigation-push-gasoline-white-3f068692-f456-4dfb-8b26-82619990cc68,0.32197142832184517,AutoTrader
10,2018,Ford,F 150,XLT 302A PACKAGE | NO ACCIDENTS | TONNEAU COVER |,2,22787,No change noted,First seen this week,0,22787,22787,0,0,172078,2.7L,Gasoline,No accidents reported,N/A,Leduc Hyundai,Dealer,"7014 Sparrow Drive, Leduc, AB, T9E 8A5","Leduc, AB",124,address,9310f94e-65f4-4d51-928e-bd439fc08f64,https://www.autotrader.ca/offers/ford-f-150-xlt-302a-package--no-accidents--tonneau-cover--gasoline-white-9310f94e-65f4-4d51-928e-bd439fc08f64,0.3233984257644242,AutoTrader
