rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2016,Ford,F 150,Lariat,3,20888,No change noted,232812,3.5L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,ad8b08a0-569d-4bdd-ac5e-89c2656401ef,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-black-ad8b08a0-569d-4bdd-ac5e-89c2656401ef,0.22191409303237847,AutoTrader
2,2016,Ford,F 150,Lariat,3,22888,No change noted,226896,3.5L,Gasoline,Unknown,N/A,Adrenalin Motors,Dealer,"3-Hwy 20, Sylvan Lake, AB, T4S 1Z7","Sylvan Lake, AB",23,address,4fe7116e-35af-4892-aa05-9a0cbf0451a5,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-black-4fe7116e-35af-4892-aa05-9a0cbf0451a5,0.24150019055980268,AutoTrader
3,2016,Ford,F 150,XLT | One Owner | Twin Turbo,2,15772,No change noted,216842,3.5L,Gasoline,Unknown,N/A,Red Deer Volkswagen,Dealer,"7 Mckenzie Drive, Red Deer, AB, T4S 2H4","Red Deer, AB",11,address,124c246e-25e5-45f7-b907-84a76d724f31,https://www.autotrader.ca/offers/ford-f-150-xlt--one-owner--twin-turbo-gasoline-white-124c246e-25e5-45f7-b907-84a76d724f31,0.2528883248698158,AutoTrader
4,2018,Ford,F 150,Lariat,3,25700,No change noted,177500,3.5L,Gasoline,Unknown,N/A,Aspen Ford Sales Ltd.,Dealer,"4402 - 42 St., STETTLER, AB, T0C2L0","STETTLER, AB",82,address,01143830-28f3-40d5-9571-1cee5e0af713,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-red-01143830-28f3-40d5-9571-1cee5e0af713,0.26589886173994187,AutoTrader
5,2019,Ford,F 150,Lariat,3,27488,No change noted,172866,2.7L,Gasoline,Unknown,N/A,Cam Clark Ford Olds,Dealer,"5042 48 th Street, OLDS, AB, T4H0C6","OLDS, AB",63,city_center,b01cd4c5-292a-4fe9-9de9-10a5776d76e7,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-b01cd4c5-292a-4fe9-9de9-10a5776d76e7,0.2762835681129179,AutoTrader
6,2018,Ford,F 150,LARIAT | Clean Carfax | 3.5L V6,3,29697,No change noted,164316,3.5L,Gasoline,No accidents reported,N/A,Red Deer Volkswagen,Dealer,"7 Mckenzie Drive, Red Deer, AB, T4S 2H4","Red Deer, AB",11,address,d9fe3a0d-0e39-446b-8707-d1b783d7221d,https://www.autotrader.ca/offers/ford-f-150-lariat--clean-carfax--3-5l-v6-gasoline-white-d9fe3a0d-0e39-446b-8707-d1b783d7221d,0.28317981410827914,AutoTrader
7,2019,Ford,F 150,Lariat SuperCrew | Longbox | Twin Panel Moonroof,3,29795,No change noted,159123,3.5L,Gasoline,Accident reported,N/A,Courtesy Chrysler Dodge Jeep Ram,Dealer,"125 Glendeer Circle S.E., CALGARY, AB, T2H2S8","CALGARY, AB",149,city_center,23effe0e-bdfb-4727-84dc-b943819c4772,https://www.autotrader.ca/offers/ford-f-150-lariat-supercrew--longbox--twin-panel-moonroof-gasoline-white-23effe0e-bdfb-4727-84dc-b943819c4772,0.3088408676323295,AutoTrader
8,2016,Ford,F 150,Lariat - 4x4 - 501A - FX4 - SK TRUCK,3,18999,No change noted,248667,3.5L,Gasoline,Unknown,N/A,Saskatoon Auto Connection,Dealer,"139A 105th Street East, SASKATOON, SK, S7N1Z2","SASKATOON, SK",546,address,3accf5e8-8f8a-481d-95f5-fa0c3bb717e8,https://www.autotrader.ca/offers/ford-f-150-lariat-4x4-501a-fx4-sk-truck-gasoline-black-3accf5e8-8f8a-481d-95f5-fa0c3bb717e8,0.3117330886021994,AutoTrader
9,2018,Ford,F 150,Platinum  - Navigation -  Leather Seats,3,33999,No change noted,136427,3.5L,Gasoline,Unknown,N/A,Legacy Ford Ponoka,Dealer,"6305 - 42 Avenue, PONOKA, AB, T4J1J8","PONOKA, AB",54,address,941fbd6c-9b58-424b-a380-3cac3df0011c,https://www.autotrader.ca/offers/ford-f-150-platinum-navigation-leather-seats-gasoline-red-941fbd6c-9b58-424b-a380-3cac3df0011c,0.32139410319634315,AutoTrader
10,2019,Ford,F 150,LARIAT 4WD SUPERCREW BACKUP CAMERA NAVIGATION PUSH,3,31988,"Reduced from $ 32,988,-",133990,3.5L,Gasoline,Unknown,N/A,Auto House,Dealer,"2404 23rd Ave NE, CALGARY, AB, T2E8J4","CALGARY, AB",149,city_center,3f068692-f456-4dfb-8b26-82619990cc68,https://www.autotrader.ca/offers/ford-f-150-lariat-4wd-supercrew-backup-camera-navigation-push-gasoline-white-3f068692-f456-4dfb-8b26-82619990cc68,0.32197142832184517,AutoTrader
11,2018,Ford,F 150,XLT 302A PACKAGE | NO ACCIDENTS | TONNEAU COVER |,2,22787,No change noted,172078,2.7L,Gasoline,No accidents reported,N/A,Leduc Hyundai,Dealer,"7014 Sparrow Drive, Leduc, AB, T9E 8A5","Leduc, AB",124,address,9310f94e-65f4-4d51-928e-bd439fc08f64,https://www.autotrader.ca/offers/ford-f-150-xlt-302a-package--no-accidents--tonneau-cover--gasoline-white-9310f94e-65f4-4d51-928e-bd439fc08f64,0.3233984257644242,AutoTrader
12,2017,Ford,F 150,,1,4706,No change noted,190012,3.5L,Gasoline,Unknown,N/A,Grande Prairie Chrysler Jeep Dodge,Dealer,"11448 Westgate Drive, GRANDE PRAIRIE, AB, T8V8L2","GRANDE PRAIRIE, AB",583,address,5546c355-f9ca-4f75-ac97-ae72c33ef35d,https://www.autotrader.ca/offers/ford-f-150-gasoline-white-5546c355-f9ca-4f75-ac97-ae72c33ef35d,0.3375622304527379,AutoTrader
13,2019,Ford,F 150,XLT | CREW CAB | 3.5L ECOBOOST | HEATED SEATS | CA,2,24907,No change noted,147086,3.5L,Gasoline,Unknown,N/A,Sherwood Park Volkswagen,Dealer,"2365 Broadmoor Boulevard, Sherwood Park, AB, T8H1N1","Sherwood Park, AB",165,address,11dc3a44-923d-4f12-b25e-4a91514008ce,https://www.autotrader.ca/offers/ford-f-150-xlt--crew-cab--3-5l-ecoboost--heated-seats--ca-gasoline-red-11dc3a44-923d-4f12-b25e-4a91514008ce,0.3436466271887655,AutoTrader
14,2020,Ford,F 150,"4x4 FX4 Pkg, Excellent Cond, Cheapest One Around!",3,21995,No change noted,211356,3.5L,Gasoline,Unknown,N/A,Gauvin Motors Ltd,Dealer,"720 Chaplin Street West, SWIFT CURRENT, SK, S9H0G4","SWIFT CURRENT, SK",627,address,f616c854-54b4-4c22-b7cc-ac3eccee626c,https://www.autotrader.ca/offers/ford-f-150-4x4-fx4-pkg-excellent-cond-cheapest-one-around-gasoline-grey-f616c854-54b4-4c22-b7cc-ac3eccee626c,0.344269089914329,AutoTrader
15,2023,Ford,F 150,XLT SuperCab 145 | Tow Pkg | FX4 Pkg | SYNC 4,3,35000,No change noted,128021,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,ae3970c3-08cc-4239-9304-e4e41f6fb18d,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145--tow-pkg--fx4-pkg--sync-4-gasoline-silver-ae3970c3-08cc-4239-9304-e4e41f6fb18d,0.34697639590749135,AutoTrader
16,2019,Ford,F 150,XLT REMOTE START | HEATED SEATS | CLOTH,2,26595,No change noted,141802,2.7L,Gasoline,Unknown,N/A,Cam Clark Ford Calgary/Airdrie,Dealer,"1001 Highland Park Blvd NE, AIRDRIE, AB, T4A0R2","AIRDRIE, AB",118,address,5a5039ca-c200-45fc-af73-37263cbde19b,https://www.autotrader.ca/offers/ford-f-150-xlt-remote-start--heated-seats--cloth-gasoline-white-5a5039ca-c200-45fc-af73-37263cbde19b,0.34780836013971134,AutoTrader
17,2019,Ford,F 150,"XLT SPORT; REMOTE STARTER, TONNEAU COVER, NAV, TRA",2,26997,No change noted,131603,2.7L,Gasoline,Unknown,N/A,Toyota on the Trail,Dealer,"5210 Calgary Trail NW, Edmonton, AB, T6H 4J8","Edmonton, AB",147,address,8ff9b138-3b00-4432-9334-37818abefadb,https://www.autotrader.ca/offers/ford-f-150-xlt-sport-remote-starter-tonneau-cover-nav-tra-gasoline-red-8ff9b138-3b00-4432-9334-37818abefadb,0.3545149784270898,AutoTrader
18,2021,Ford,F 150,Lariat,3,38888,No change noted,163819,5.0L,Gasoline,Unknown,N/A,MGM Ford Lincoln Sales,Dealer,"3010 - 50th Avenue, RED DEER, AB, T4R1M5","RED DEER, AB",1,city_center,00020ffa-2e69-407b-a9fa-b39109d93380,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-black-00020ffa-2e69-407b-a9fa-b39109d93380,0.3577936743689009,AutoTrader
19,2023,Ford,F 150,XLT SuperCab 145 | FX4 Pkg | Tow Pkg | SYNC 4,3,38000,No change noted,103044,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,af7bb4c0-537d-43f5-8904-a066edd5cb83,https://www.autotrader.ca/offers/ford-f-150-xlt-supercab-145--fx4-pkg--tow-pkg--sync-4-gasoline-grey-af7bb4c0-537d-43f5-8904-a066edd5cb83,0.36686400199889274,AutoTrader
20,2019,Ford,F 150,Limited HEAT + COOLING SEATS | MOONROOF | REMOTE S,3,37812,No change noted,151447,3.5L,Gasoline,Unknown,N/A,Cam Clark Ford Calgary/Airdrie,Dealer,"1001 Highland Park Blvd NE, AIRDRIE, AB, T4A0R2","AIRDRIE, AB",118,address,e6f2fef4-31f3-450d-8acb-628fd35bc261,https://www.autotrader.ca/offers/ford-f-150-limited-heat-cooling-seats--moonroof--remote-s-gasoline-white-e6f2fef4-31f3-450d-8acb-628fd35bc261,0.3682592567965774,AutoTrader
21,2021,Ford,F 150,Lariat,3,36888,No change noted,162466,2.7L,Gasoline,Unknown,N/A,Advantage Ford,Dealer,"12800 Macleod Trail S.E., CALGARY, AB, T2J7E5","CALGARY, AB",149,city_center,0558c94a-3bce-4342-8c96-f9c15e7df6fe,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-grey-0558c94a-3bce-4342-8c96-f9c15e7df6fe,0.3686345007214566,AutoTrader
22,2021,Ford,F 150,LARIAT,3,37988,"Reduced from $ 42,488,-",152356,3.5L,Gasoline,Unknown,N/A,LA Mazda,Dealer,"6217 50th Street, LEDUC, AB, T9E7A9","LEDUC, AB",122,city_center,1dd269d8-e37e-4bf5-868d-95504e0f60ba,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-white-1dd269d8-e37e-4bf5-868d-95504e0f60ba,0.37066295956134826,AutoTrader
23,2020,Ford,F 150,KING RANCH|LEATHER STEERING WHEEL|TECH PKG|MAX TRA,3,38888,No change noted,153095,3.5L,Gasoline,Unknown,N/A,Champion Ford,Dealer,"1 Champion Road, Carstairs, AB, T0M 0N0","Carstairs, AB",91,address,6f158513-79be-4cb5-afd6-9df4b602f00e,https://www.autotrader.ca/offers/ford-f-150-king-ranchleather-steering-wheeltech-pkgmax-tra-gasoline-white-6f158513-79be-4cb5-afd6-9df4b602f00e,0.37249458369778826,AutoTrader
24,2019,Ford,F 150,XLT  -  Apple CarPlay -  Android Auto,2,27277,No change noted,157122,2.7L,Gasoline,Accident reported,N/A,High River Ford,Dealer,"1103 11th Ave S.E., HIGH RIVER, AB, T1V1M3","HIGH RIVER, AB",209,city_center,93e75aab-ddff-4c1a-82fe-1cc2e56ca1d7,https://www.autotrader.ca/offers/ford-f-150-xlt-apple-carplay-android-auto-gasoline-blue-93e75aab-ddff-4c1a-82fe-1cc2e56ca1d7,0.37371165847436927,AutoTrader
25,2017,Ford,F 150,SUPER CREW CAB BACKUP CAMERA HEATED MIRRORS BLUETO,1,18488,"Reduced from $ 18,988,-",206596,3.5L,Gasoline,Unknown,N/A,Auto House,Dealer,"2404 23rd Ave NE, CALGARY, AB, T2E8J4","CALGARY, AB",149,city_center,f53db5b2-ebc5-4a0b-8ee4-81702e5b9364,https://www.autotrader.ca/offers/ford-f-150-super-crew-cab-backup-camera-heated-mirrors-blueto-gasoline-white-f53db5b2-ebc5-4a0b-8ee4-81702e5b9364,0.37433205579817874,AutoTrader
26,2018,Ford,F 150,LARIAT 502A SPORT TECH PKG FX4 | MAX TOW,3,32760,No change noted,160221,3.5L,Gasoline,Unknown,N/A,Boundary Ford Sales,Dealer,"2502-50th Avenue, Lloydminster, SK, T9V2S3","Lloydminster, SK",368,city_center,03315363-f78d-48d5-abbf-eaf7b2748ddd,https://www.autotrader.ca/offers/ford-f-150-lariat-502a-sport-tech-pkg-fx4--max-tow-gasoline-black-03315363-f78d-48d5-abbf-eaf7b2748ddd,0.37488826656481694,AutoTrader
27,2019,Ford,F 150,XLT Sport *Rare/Well Equipped*,2,30990,No change noted,101752,3.5L,Gasoline,Unknown,N/A,GO AUTO OUTLET SOUTH,Dealer,"2262 Sparrow Dr, Nisku, AB, T9E 8A2","Nisku, AB",129,address,21ae584c-2d15-4f21-98e4-0f887e524cde,https://www.autotrader.ca/offers/ford-f-150-xlt-sport-rare-well-equipped-gasoline-red-21ae584c-2d15-4f21-98e4-0f887e524cde,0.37830078696178127,AutoTrader
28,2017,Ford,F 150,XLT SuperCrew - 4x4 - 5.0L V8 - REMOTE START,2,18637,No change noted,223094,5.0L,Gasoline,Unknown,N/A,Saskatoon Auto Connection,Dealer,"139A 105th Street East, SASKATOON, SK, S7N1Z2","SASKATOON, SK",546,address,dc0725cb-bded-46c2-90e0-6ea5be80ff0f,https://www.autotrader.ca/offers/ford-f-150-xlt-supercrew-4x4-5-0l-v8-remote-start-gasoline-white-dc0725cb-bded-46c2-90e0-6ea5be80ff0f,0.3784815594289131,AutoTrader
29,2019,Ford,F 150,XLT  302A SPORT | LONGBOX | 3.5L ECO,2,32998,No change noted,93649,3.5L,Gasoline,Accident reported,N/A,Legacy Ford Ponoka,Dealer,"6305 - 42 Avenue, PONOKA, AB, T4J1J8","PONOKA, AB",54,address,db815fe5-c040-4a96-8f23-0f23c4dad2ed,https://www.autotrader.ca/offers/ford-f-150-xlt-302a-sport--longbox--3-5l-eco-gasoline-red-db815fe5-c040-4a96-8f23-0f23c4dad2ed,0.3792956089026414,AutoTrader
30,2021,Ford,F 150,"Lariat Lariat luxury, heated & cooled leather seat",3,41496,No change noted,169129,3.5L,Gasoline,Unknown,N/A,Cam Clark Ford Red Deer,Dealer,"417 Lantern Street, RED DEER, AB, T4E0A5","RED DEER, AB",8,address,d12312c1-2ba4-4b2b-8e22-61de78a60172,https://www.autotrader.ca/offers/ford-f-150-lariat-lariat-luxury-heated-cooled-leather-seat-gasoline-black-d12312c1-2ba4-4b2b-8e22-61de78a60172,0.3819284735805969,AutoTrader
31,2017,Ford,F 150,Lariat  - $170.97 /Wk,3,28783,No change noted,156891,3.5L,Gasoline,No accidents reported,N/A,Legacy Dodge Chrysler Jeep Ram,Dealer,"324 Gregoire Drive, FORT MCMURRAY, AB, T9H3R2","FORT MCMURRAY, AB",587,address,1d393766-6a36-4eb9-bc58-d879aaf53ad6,https://www.autotrader.ca/offers/ford-f-150-lariat-170-97-wk-gasoline-white-1d393766-6a36-4eb9-bc58-d879aaf53ad6,0.382178286402528,AutoTrader
32,2022,Ford,F 150,"XLT 6.5 box, FX4 Off-Road, Max Trailer Tow, heate",3,43757,No change noted,89204,3.5L,Gasoline,No accidents reported,N/A,Cam Clark Ford Red Deer,Dealer,"417 Lantern Street, RED DEER, AB, T4E0A5","RED DEER, AB",8,address,ec902c58-edf9-4f17-a37a-04c9d37b5419,https://www.autotrader.ca/offers/ford-f-150-xlt-6-5-box-fx4-off-road-max-trailer-tow-heate-gasoline-white-ec902c58-edf9-4f17-a37a-04c9d37b5419,0.3844097469982508,AutoTrader
33,2018,Ford,F 150,XLT,2,22888,"Reduced from $ 24,888,-",211290,3.5L,Gasoline,Unknown,N/A,Medicine Hat House of Cars Inc.,Dealer,"621 - 15 Street SW, Medicine Hat, AB, T1A 4W4","Medicine Hat, AB",406,address,7c0d8b3b-b13d-43ee-8b76-ec3b7321c2c5,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-black-7c0d8b3b-b13d-43ee-8b76-ec3b7321c2c5,0.3852080086593465,AutoTrader
34,2020,Ford,F 150,LARIAT 4WD SuperCrew 5.5' Box,3,33909,No change noted,178078,2.7L,Gasoline,Unknown,N/A,Gary Moe Lethbridge Chrysler Dodge Jeep Ram,Dealer,"2324 5 Ave N, Lethbridge, AB, T1H 5B5","Lethbridge, AB",356,address,82be1202-2a50-49fa-b0ed-7b4063fa7cf7,https://www.autotrader.ca/offers/ford-f-150-lariat-4wd-supercrew-5-5-box-gasoline-black-82be1202-2a50-49fa-b0ed-7b4063fa7cf7,0.38586595138740204,AutoTrader
35,2019,Ford,F 150,XLT CREW CAB BACKUP CAMERA HEATED SEATS DRIVE MODE,2,31988,No change noted,82234,2.7L,Gasoline,Unknown,N/A,Auto House,Dealer,"2404 23rd Ave NE, CALGARY, AB, T2E8J4","CALGARY, AB",149,city_center,b385ed31-ba26-4139-9e3b-17ada7a7a69f,https://www.autotrader.ca/offers/ford-f-150-xlt-crew-cab-backup-camera-heated-seats-drive-mode-gasoline-black-b385ed31-ba26-4139-9e3b-17ada7a7a69f,0.3863769364095717,AutoTrader
