ranking_status,review_status,source_run_status,source_completed_at_utc,location_status,distance_status,unverified_location_value,unverified_distance_value,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,source
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2015,Ford,F 350,LARIAT | 6.7L DIESEL | CREW CAB | 4X4,3,31900,No change noted,Unchanged for 5 weeks,5,31900,31900,0,0,281981,6.7L,Diesel,Unknown,N/A,Stampede Auto,Dealer,"2520 Centre Ave, Calgary, AB, T2A 2L2","Calgary, AB",147,address,7ed630d0-56dd-4703-a19d-c2fab5ad6e14,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-6-7l-diesel-crew-cab-4x4-diesel-white-cat_ma29gr18389tr11371-7ed630d0-56dd-4703-a19d-c2fab5ad6e14,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2016,Ford,F 350,XLT | 6.7L DIESEL | CREW CAB | 4WD | BED LINER,2,29900,"Reduced from $ 30,900,-","Down $1,000 over 7 weeks",7,30900,29900,0,-1000,275563,6.7L,Diesel,Unknown,N/A,Stampede Auto,Dealer,"2520 Centre Ave, Calgary, AB, T2A 2L2","Calgary, AB",147,address,5d62f35e-2a28-479f-bdab-6a9bc1b677bd,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-6-7l-diesel-crew-cab-4wd-bed-liner-diesel-green-cat_ma29gr18389tr11376-5d62f35e-2a28-479f-bdab-6a9bc1b677bd,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2016,Ford,F 350,Dually  Lariat,3,43995,No change noted,Unchanged for 5 weeks,5,43995,43995,0,0,217000,6.7L,Diesel,Unknown,N/A,Start N Go Auto,Dealer,"1710 Idylwyld Dr N, Saskatoon, SK, S7L 1B3","Saskatoon, SK",539,address,757fd207-9be0-4a9f-bb9d-5fc594a4ba80,https://www.autotrader.ca/offers/ford-f-350-super-duty-dually-lariat-diesel-black-cat_ma29gr18389tr11371-757fd207-9be0-4a9f-bb9d-5fc594a4ba80,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2016,Ford,F 350,Lariat | Diesel | Heated Seats | Bluetooth | Backu,3,31309,No change noted,"Down $1,300 over 8 weeks",8,32609,31309,0,-1300,277610,6.7L,Diesel,Unknown,N/A,Northland Chrysler Jeep Dodge,Dealer,"2844 Recplace Drive, PRINCE GEORGE, BC, V2N 0B2","PRINCE GEORGE, BC",788,address,7851194b-be27-4df5-9cb9-8d94013ea5bf,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-diesel-heated-seats-bluetooth-backu-diesel-black-cat_ma29gr18389tr11371-7851194b-be27-4df5-9cb9-8d94013ea5bf,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2018,Ford,F 350,Lariat  - Leather Seats,3,44999,No change noted,"Down $2,996 over 9 weeks",9,47995,44999,0,-2996,218912,6.7L,Diesel,Unknown,N/A,Legacy Dodge Claresholm,Dealer,"5202 - 1st Street W, Claresholm, AB, T0L0T0","Claresholm, AB",274,city_center,0c01c467-a610-4bcf-bb47-62b73f38067e,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-leather-seats-diesel-cat_ma29gr18389tr11371-0c01c467-a610-4bcf-bb47-62b73f38067e,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2018,Ford,F 350,CREWCAB,1,44998,No change noted,Unchanged for 8 weeks,8,44998,44998,0,0,185000,6.7L,Diesel,Unknown,N/A,Cypress Motors MC,Dealer,"214 Jasper Street, MAPLE CREEK, SK, S0N 1N0","MAPLE CREEK, SK",509,address,30c37942-bd64-4fe3-98b4-9c82ef87c7d6,https://www.autotrader.ca/offers/ford-f-350-super-duty-crewcab-diesel-white-cat_ma29gr18389-30c37942-bd64-4fe3-98b4-9c82ef87c7d6,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2018,Ford,F 350,,1,36998,No change noted,Unchanged for 1 weeks,1,36998,36998,0,0,359602,6.7L,Diesel,Unknown,N/A,Cypress Motors MC,Dealer,"214 Jasper Street, MAPLE CREEK, SK, S0N 1N0","MAPLE CREEK, SK",509,address,e3b5ceae-6e6f-44b1-8aa9-008124b91121,https://www.autotrader.ca/offers/ford-f-350-super-duty-diesel-cat_ma29gr18389-e3b5ceae-6e6f-44b1-8aa9-008124b91121,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2019,Ford,F 350,King Ranch | 720A | 4X4 | Crew Cab 176,3,59000,No change noted,First seen this week,0,59000,59000,0,0,202200,6.7L,Diesel,Accident reported,N/A,Freedom Ford Sales,Dealer,"7505 75 Street, EDMONTON, AB, T6C 4H8","EDMONTON, AB",154,city_center,334b379b-c11f-4dbb-b47d-bbcb267c21c4,https://www.autotrader.ca/offers/ford-f-350-super-duty-king-ranch-720a-4x4-crew-cab-176-diesel-black-cat_ma29gr18389-334b379b-c11f-4dbb-b47d-bbcb267c21c4,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2019,Ford,F 350,Limited,3,35500,No change noted,"Down $1,500 over 3 weeks",3,37000,35500,0,-1500,306200,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,"Calgary, AB",149,city_center,4b0d4ae3-fd0a-485e-ae18-dac4e18608ca,https://www.autotrader.ca/offers/ford-f-350-super-duty-limited-diesel-white-cat_ma29gr18389-4b0d4ae3-fd0a-485e-ae18-dac4e18608ca,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2019,Ford,F 350,XLT SRW DIESEL 4X4 | 8 Foot Box | Back Up Camera |,2,33988,No change noted,Unchanged for 1 weeks,1,33988,33988,0,0,328909,6.7L,Diesel,Unknown,N/A,Macleod Trail Toyota,Dealer,"3640 Macleod Trail South, CALGARY, AB, T2G2P9","CALGARY, AB",149,city_center,91ac624a-7b92-4a5b-bcf5-1f98ee29076c,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-srw-diesel-4x4-8-foot-box-back-up-camera-diesel-grey-cat_ma29gr18389-91ac624a-7b92-4a5b-bcf5-1f98ee29076c,AutoTrader
