evidence_schema_version,vehicle_key,source,canonical_listing_id,observation_id,source_listing_id,source_listing_id_status,source_claim_status,raw_record_ref,normalized_record_ref,ranking_status,review_status,collection_status,data_quality_status,quality_warnings,source_run_status,source_completed_at_utc,year,year_evidence_status,make,make_evidence_status,model,model_evidence_status,trim,trim_evidence_status,price_cad,price_evidence_status,mileage_km,mileage_evidence_status,engine,engine_evidence_status,fuel,fuel_evidence_status,accident_claim,accident_evidence_status,dealer,dealer_evidence_status,seller_type_claim,seller_type_evidence_status,dealer_address,dealer_address_evidence_status,location,location_evidence_status,unverified_location_value,distance_km,distance_evidence_status,distance_method,url_region_hint,url_region_evidence_status,listing_url,listing_url_evidence_status,observation_count,first_observed_price_cad,previous_observation_price_cad,change_from_previous_observation_cad,change_from_first_observation_cad,source_price_history_text,legacy_trend_text,days_on_market_claim
1,ford_f350,autotrader,listing_89d81550290f9839d459cb5f,observation_7114c03967e0fb05c8a9a205,7ed630d0-56dd-4703-a19d-c2fab5ad6e14,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=0,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=0,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2015,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,LARIAT | 6.7L DIESEL | CREW CAB | 4X4,source_reported_unverified,31900,source_reported_unverified,281981,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Stampede Auto,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"2520 Centre Ave, Calgary, AB, T2A 2L2",source_reported_not_independently_verified,"Calgary, AB",source_reported_not_independently_verified,,147.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-6-7l-diesel-crew-cab-4x4-diesel-white-cat_ma29gr18389tr11371-7ed630d0-56dd-4703-a19d-c2fab5ad6e14,source_reported_unverified,5,31900,31900,0,0,No change noted,Unchanged for 5 weeks,
1,ford_f350,autotrader,listing_1cc0085f6b30ff4a89cff676,observation_6c25d10d110a1d0a8382cb3d,757fd207-9be0-4a9f-bb9d-5fc594a4ba80,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=7,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=7,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2016,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,Dually  Lariat,source_reported_unverified,43995,source_reported_unverified,217000,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Start N Go Auto,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"1710 Idylwyld Dr N, Saskatoon, SK, S7L 1B3",source_reported_not_independently_verified,"Saskatoon, SK",source_reported_not_independently_verified,,539.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-dually-lariat-diesel-black-cat_ma29gr18389tr11371-757fd207-9be0-4a9f-bb9d-5fc594a4ba80,source_reported_unverified,6,43995,43995,0,0,No change noted,Unchanged for 6 weeks,
1,ford_f350,autotrader,listing_b186f909b8c4a9b5280911b1,observation_f3d52040b1e2021d229a0121,7851194b-be27-4df5-9cb9-8d94013ea5bf,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=5,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=5,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2016,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,Lariat | Diesel | Heated Seats | Bluetooth | Backu,source_reported_unverified,31309,source_reported_unverified,277610,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Northland Chrysler Jeep Dodge,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"2844 Recplace Drive, PRINCE GEORGE, BC, V2N 0B2",source_reported_not_independently_verified,"PRINCE GEORGE, BC",source_reported_not_independently_verified,,788.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-diesel-heated-seats-bluetooth-backu-diesel-black-cat_ma29gr18389tr11371-7851194b-be27-4df5-9cb9-8d94013ea5bf,source_reported_unverified,8,32609,31309,0,-1300,No change noted,"Down $1,300 over 8 weeks",
1,ford_f350,autotrader,listing_e78766c3a07c4de6319e7912,observation_6598efbe88db05bb69478d4c,5d62f35e-2a28-479f-bdab-6a9bc1b677bd,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=3,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=3,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2016,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,XLT | 6.7L DIESEL | CREW CAB | 4WD | BED LINER,source_reported_unverified,29900,source_reported_unverified,275563,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Stampede Auto,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"2520 Centre Ave, Calgary, AB, T2A 2L2",source_reported_not_independently_verified,"Calgary, AB",source_reported_not_independently_verified,,147.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-6-7l-diesel-crew-cab-4wd-bed-liner-diesel-green-cat_ma29gr18389tr11376-5d62f35e-2a28-479f-bdab-6a9bc1b677bd,source_reported_unverified,8,30900,29900,0,-1000,"Reduced from $ 30,900,-","Down $1,000 over 8 weeks",
1,ford_f350,autotrader,listing_99e1d9d9b46ce5bd23abc402,observation_7617c89beb2b89388c706ce2,4faf70de-6eec-487c-a555-d8b190f70f4c,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=12,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=12,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2017,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,XLT | 176 | Diesel | Bedliner | Backup Camera,source_reported_unverified,43999,source_reported_unverified,100355,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Prince George Ford,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"1331 Central Street, Prince George, BC, V2M 3E2",source_reported_not_independently_verified,"Prince George, BC",source_reported_not_independently_verified,,785.0,legacy_method_not_yet_disambiguated,city_center,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-176-diesel-bedliner-backup-camera-diesel-grey-cat_ma29gr18389-4faf70de-6eec-487c-a555-d8b190f70f4c,source_reported_unverified,4,43995,43999,0,4,No change noted,Up $4 over 4 weeks,
1,ford_f350,autotrader,listing_3e82d384957ca63d11c3fa2a,observation_ab963e001fa738461f331f0c,0c01c467-a610-4bcf-bb47-62b73f38067e,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=4,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=4,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2018,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,Lariat  - Leather Seats,source_reported_unverified,44999,source_reported_unverified,218912,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Legacy Dodge Claresholm,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"5202 - 1st Street W, Claresholm, AB, T0L0T0",source_reported_not_independently_verified,"Claresholm, AB",source_reported_not_independently_verified,,274.0,legacy_method_not_yet_disambiguated,city_center,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-lariat-leather-seats-diesel-cat_ma29gr18389tr11371-0c01c467-a610-4bcf-bb47-62b73f38067e,source_reported_unverified,10,47995,44999,0,-2996,No change noted,"Down $2,996 over 10 weeks",
1,ford_f350,autotrader,listing_43a00a471aa36c6383d06747,observation_e6649a4012dfb3a0e922af22,e3b5ceae-6e6f-44b1-8aa9-008124b91121,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=18,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=18,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2018,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,,unknown,36998,source_reported_unverified,359602,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Cypress Motors MC,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"214 Jasper Street, MAPLE CREEK, SK, S0N 1N0",source_reported_not_independently_verified,"MAPLE CREEK, SK",source_reported_not_independently_verified,,509.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-diesel-cat_ma29gr18389-e3b5ceae-6e6f-44b1-8aa9-008124b91121,source_reported_unverified,2,36998,36998,0,0,No change noted,Unchanged for 2 weeks,
1,ford_f350,autotrader,listing_fca1e182bb23d4fbc7b446fd,observation_7338b724fc98a536302d38be,30c37942-bd64-4fe3-98b4-9c82ef87c7d6,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=17,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=17,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2018,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,CREWCAB,source_reported_unverified,44998,source_reported_unverified,185000,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Cypress Motors MC,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"214 Jasper Street, MAPLE CREEK, SK, S0N 1N0",source_reported_not_independently_verified,"MAPLE CREEK, SK",source_reported_not_independently_verified,,509.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-crewcab-diesel-white-cat_ma29gr18389-30c37942-bd64-4fe3-98b4-9c82ef87c7d6,source_reported_unverified,9,44998,44998,0,0,No change noted,Unchanged for 9 weeks,
1,ford_f350,autotrader,listing_2cd4e2f09dd182d99dcf54f3,observation_b0a1e4e4724d44c5cac2b293,fa35b649-c62f-4da4-9703-aad5b99bf5bc,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=20,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=20,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2019,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,,unknown,52998,source_reported_unverified,192000,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,Cypress Motors MC,source_reported_unverified,Dealer,source_reported_or_inferred_unverified,"214 Jasper Street, MAPLE CREEK, SK, S0N 1N0",source_reported_not_independently_verified,"MAPLE CREEK, SK",source_reported_not_independently_verified,,509.0,legacy_method_not_yet_disambiguated,address,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-diesel-cat_ma29gr18389-fa35b649-c62f-4da4-9703-aad5b99bf5bc,source_reported_unverified,7,52998,52998,0,0,No change noted,Unchanged for 7 weeks,
1,ford_f350,autotrader,listing_d2d37ff409b750dfd2ec5212,observation_124554c275ecc7c4aa9e6656,4b0d4ae3-fd0a-485e-ae18-dac4e18608ca,source_identifier_claim_not_vin,unverified_source_claims,data/ford_f350/evidence/autotrader/raw_latest.jsonl#record=2,data/ford_f350/evidence/autotrader/normalized_latest.jsonl#source_record_index=2,DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,clean,,success,2026-07-22T18:35:15+00:00,2019,source_reported_unverified,Ford,source_reported_or_configured_unverified,F 350,source_reported_or_configured_unverified,Limited,source_reported_unverified,35500,source_reported_unverified,306200,source_reported_unverified,6.7L,source_reported_unverified,Diesel,source_reported_or_inferred_unverified,,unknown,,unknown,Dealer,source_reported_or_inferred_unverified,,unknown,"Calgary, AB",source_reported_not_independently_verified,,149.0,legacy_method_not_yet_disambiguated,city_center,,unavailable,https://www.autotrader.ca/offers/ford-f-350-super-duty-limited-diesel-white-cat_ma29gr18389-4b0d4ae3-fd0a-485e-ae18-dac4e18608ca,source_reported_unverified,4,37000,35500,0,-1500,No change noted,"Down $1,500 over 4 weeks",
