rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2015,Ford,F-350,lariat,3,25000,No change noted,251000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1737972294,https://www.kijiji.ca/v-cars-trucks/calgary/ford-f-350-2015-6-7l-diesel/1737972294,0.3315727039317779,Kijiji
2,2015,Ford,F-350,lariat,3,21999,No change noted,400000,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1734896077,https://www.kijiji.ca/v-cars-trucks/edmonton/2015-ford-f-350-lariat-6-7l-powerstroke-diesel-4x4/1734896077,0.3639194925407328,Kijiji
3,2015,Ford,F-350,lariat,3,31900,No change noted,281981,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1734834544,https://www.kijiji.ca/v-cars-trucks/calgary/2015-ford-super-duty-f-350-srw-lariat-6-7l-diesel-crew-cab/1734834544,0.40086068789814105,Kijiji
4,2016,Ford,F-350,xlt,2,30900,No change noted,275563,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1737189627,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-super-duty-f-350-srw-xlt-6-7l-diesel-crew-cab-4w/1737189627,0.4650886480611187,Kijiji
5,2016,Ford,F-350,lariat,3,43680,No change noted,216452,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1737928701,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-6-7l-aftermarket/1737928701,0.47279395498309573,Kijiji
6,2019,Ford,F-350,fx4,3,43995,No change noted,217820,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1724558089,https://www.kijiji.ca/v-cars-trucks/calgary/2019-ford-f-350-6-7l-diesel-xlt-fx4-pkg-4wd-navi-360cam-heated-s/1724558089,0.47744142260571387,Kijiji
7,2016,Ford,F-350,lariat,3,46993,No change noted,187076,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1737245812,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-350-super-duty-lariat-heated-leather-seats-6-7l-di/1737245812,0.4908022237946825,Kijiji
8,2016,Ford,F-350,king ranch,3,49780,No change noted,178123,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1737665020,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-srw-king-ranch-6-7l-tuned-deleted/1737665020,0.5091553676859016,Kijiji
9,2016,Ford,F-350,xlt,2,42900,No change noted,153340,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1734918278,https://www.kijiji.ca/v-cars-trucks/edmonton/2016-ford-f-350-chassis-xlt-2016-ford-f-350-super-duty-6-7l/1734918278,0.5198224812652454,Kijiji
10,2021,Ford,F-350,lariat,3,51999,No change noted,163789,6.7L,Diesel,Salvage/rebuilt,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1737959632,https://www.kijiji.ca/v-cars-trucks/edmonton/2021-ford-f-350-super-duty-lariat-6-7l-diesel-4x4/1737959632,0.5246750058332207,Kijiji
11,2015,Ford,F-350,xlt,2,21900,No change noted,310700,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Moose Jaw, SK","Moose Jaw, SK",799,address,1733148010,https://www.kijiji.ca/v-cars-trucks/portage-la-prairie/2015-ford-f-350-crew-cab-dually-4x4-xlt-6-7l-clean-title/1733148010,0.5253568390974555,Kijiji
12,2022,Ford,F-350,fx4,3,55980,No change noted,149133,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1737085766,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2022-ford-super-duty-f-350-srw-xlt-fx4-6-7l-powerstroke/1737085766,0.5498883783118036,Kijiji
13,2021,Ford,F-350,lariat,3,51500,No change noted,268300,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1736407397,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2021-ford-f-350-6-7-lariat/1736407397,0.5576598065086104,Kijiji
14,2020,Ford,F-350,fx4,3,54900,No change noted,198000,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1724509335,https://www.kijiji.ca/v-cars-trucks/edmonton/2020-ford-f-350-fx4-offroad-package-4x4-6-7l-diesel/1724509335,0.5618308987034527,Kijiji
15,2019,Ford,F-350,xlt,2,23950,No change noted,364876,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",799,address,1734780751,https://www.kijiji.ca/v-cars-trucks/cambridge/2019-ford-f-350-super-duty-dually-xlt-super-cab-4wd-6-7l-v8-8-b/1734780751,0.5629770586421391,Kijiji
16,2020,Ford,F-350,lariat,3,56695,No change noted,190813,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1736922586,https://www.kijiji.ca/v-cars-trucks/calgary/2020-ford-super-duty-f-350-srw-lariat-6-7l-powerstroke/1736922586,0.5731419345965034,Kijiji
17,2020,Ford,F-350,lariat,3,59945,No change noted,156038,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1735641205,https://www.kijiji.ca/v-cars-trucks/edmonton/2020-ford-f-350-lariat-6-7l-diesel-touch-nav-pano-camera/1735641205,0.5880164419539576,Kijiji
18,2015,Ford,F-350,lariat,3,32900,No change noted,438000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",799,address,1737906720,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2015-f350-lariat-6-7l-diesel/1737906720,0.5903273076077313,Kijiji
19,2019,Ford,F-350,lariat,3,57495,No change noted,138607,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Saskatoon, SK","Saskatoon, SK",538,address,1731384442,https://www.kijiji.ca/v-cars-trucks/saskatoon/2019-ford-f-350-sd-lariat-4x4-6-7l-powerstroke/1731384442,0.6330685039637509,Kijiji
20,2017,Ford,F-350,xlt,2,35799,No change noted,295612,6.7L,Diesel,Unknown,N/A,Unknown,Unknown,"Regina, SK","Regina, SK",786,address,1729154956,https://www.kijiji.ca/v-cars-trucks/winnipeg/2017-ford-super-duty-f-350-srw-xlt-6-7l-powerstroke-bc-truck/1729154956,0.6331324072250804,Kijiji
21,2016,Ford,F-350,king ranch,3,36500,No change noted,528000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",799,address,1734614617,https://www.kijiji.ca/v-cars-trucks/kingston-on/2016-ford-f350-6-7l-diesel-boss-v-plow-snow-ex-salter/1734614617,0.6544457419301026,Kijiji
22,2019,Ford,F-350,xlt,2,52821,No change noted,70070,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",799,address,1732786421,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2019-ford-super-duty-f-350-srw-xlt-crew-cab-8-foot-box-6-7l/1732786421,0.6921205306252953,Kijiji
23,2019,Ford,F-350,lariat,3,58999,No change noted,185000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",799,address,1738047104,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2019-ford-f-350-lariat-6-7l-power-stroke-diesel/1738047104,0.7121851912232678,Kijiji
24,2018,Ford,F-350,xl,1,44900,No change noted,120000,6.7L,Diesel,No accidents reported,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",799,address,1737325755,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-ford-super-duty-f-350-srw-xl-4wd-6-7l-power-stroke-diesel-c/1737325755,0.7199645129247265,Kijiji
