rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url_region_hint,url_region_status,url,score,source
1,2018,Honda,Odyssey,Unknown,1,12950,No change noted,Unchanged for 1 weeks,1,12950,12950,0,0,248159,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740840776,cambridge,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/cambridge/2018-honda-odyssey-ex-l-navi-auto-as-is-special-apple-carplay-ho/1740840776,,Kijiji
2,2018,Honda,Odyssey,Unknown,1,19999,No change noted,"Down $1,501 over 3 weeks",3,21500,19999,0,-1501,168000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739958360,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/honda-odyssey-2018/1739958360,,Kijiji
3,2018,Honda,Odyssey,Unknown,1,20599,No change noted,First seen this week,0,20599,20599,0,0,196145,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740947509,barrie,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/barrie/2018-honda-odyssey-touring/1740947509,,Kijiji
4,2018,Honda,Odyssey,Unknown,1,21000,No change noted,Unchanged for 1 weeks,1,21000,21000,0,0,187000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740818680,hamilton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/hamilton/honda-odyssey/1740818680,,Kijiji
5,2018,Honda,Odyssey,Unknown,1,22000,No change noted,"Down $1,000 over 6 weeks",6,23000,22000,0,-1000,147000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1738815449,cape-breton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/cape-breton/2018-honda-odyssey/1738815449,,Kijiji
6,2018,Honda,Odyssey,Unknown,1,22795,No change noted,Down $693 over 6 weeks,6,23488,22998,-203,-693,131903,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1737873763,markham-york-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2018-honda-odyssey-ex-auto-reverse-camera-no-accident-sunroof-re/1737873763,,Kijiji
7,2018,Honda,Odyssey,Unknown,1,23950,No change noted,Unchanged for 1 weeks,1,23950,23950,0,0,188744,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740311216,city-of-toronto,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-honda-odyssey-touring-auto/1740311216,,Kijiji
8,2018,Honda,Odyssey,Unknown,1,24090,No change noted,Up $300 over 3 weeks,3,23790,24090,0,300,135000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739844484,city-of-toronto,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-honda-odyssey-ex-l-res/1739844484,,Kijiji
9,2018,Honda,Odyssey,Unknown,1,24090,No change noted,Up $300 over 4 weeks,4,23790,24090,0,300,135000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739844669,ottawa,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-honda-odyssey-ex-l-res/1739844669,,Kijiji
10,2018,Honda,Odyssey,Unknown,1,24090,No change noted,Unchanged for 2 weeks,2,24090,24090,0,0,135000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739889625,bedford,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/bedford/2018-honda-odyssey-ex-l-res/1739889625,,Kijiji
11,2018,Honda,Odyssey,Unknown,1,24900,No change noted,Unchanged for 1 weeks,1,24900,24900,0,0,176191,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Medicine Hat, AB","Medicine Hat, AB",,disabled_unverified_location,1724385261,lethbridge,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/lethbridge/2018-honda-odyssey-ex-l/1724385261,,Kijiji
12,2018,Honda,Odyssey,Unknown,1,25880,No change noted,Unchanged for 2 weeks,2,25880,25880,0,0,149249,Unknown,Gas,Unknown,N/A,Unknown,Private,"High River, AB","High River, AB",,disabled_unverified_location,1740333364,kitchener-waterloo,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2018-honda-odyssey-ex-l-navigation-camera-leather-roof-power-doo/1740333364,,Kijiji
13,2018,Honda,Odyssey,Unknown,1,25995,No change noted,Unchanged for 4 weeks,4,25995,25995,0,0,172000,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739592119,london,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/london/2018-honda-odyssey-ex-l-8-pass-clean-carfax-power-sliding-doo/1739592119,,Kijiji
14,2018,Honda,Odyssey,Unknown,1,25998,No change noted,"Down $1,800 over 7 weeks",7,27798,25998,0,-1800,164543,Unknown,Gas,Unknown,N/A,Unknown,Unknown,"Camrose, AB","Camrose, AB",,disabled_unverified_location,1736549397,st-albert,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/st-albert/2018-honda-odyssey-exl-sunroof-nav-driver-alerts-power-doors/1736549397,,Kijiji
15,2018,Honda,Odyssey,Unknown,1,27800,No change noted,Unchanged for 2 weeks,2,27800,27800,0,0,133500,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Medicine Hat, AB","Medicine Hat, AB",,disabled_unverified_location,1740344985,lethbridge,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/lethbridge/honda-odyssey-ex-l/1740344985,,Kijiji
16,2018,Honda,Odyssey,Unknown,1,27998,No change noted,Unchanged for 6 weeks,6,27998,27898,100,0,144802,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1737979746,london,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/london/2018-honda-odyssey-ex-sunroof-8-passenger-adaptive-cruise/1737979746,,Kijiji
17,2018,Honda,Odyssey,Unknown,1,29526,No change noted,Unchanged for 1 weeks,1,29526,29526,0,0,154263,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1740648983,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2018-honda-odyssey-touring/1740648983,,Kijiji
18,2018,Honda,Odyssey,Unknown,1,30000,No change noted,Unchanged for 4 weeks,4,30000,30000,0,0,160000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1737132165,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/honda-odyssey/1737132165,,Kijiji
19,2018,Honda,Odyssey,Unknown,1,30800,No change noted,Unchanged for 1 weeks,1,30800,30800,0,0,112000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740809156,mississauga-peel-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-honda-odyssey-touring-elite-fully-loaded-112-000-km/1740809156,,Kijiji
20,2018,Honda,Odyssey,Unknown,1,30990,No change noted,Up $200 over 6 weeks,6,30790,30990,0,200,86396,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1737099187,ottawa,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-honda-odyssey-ex-l-navi/1737099187,,Kijiji
21,2018,Honda,Odyssey,Unknown,1,30990,No change noted,Up $200 over 6 weeks,6,30790,30990,0,200,86396,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1737099412,city-of-toronto,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-honda-odyssey-ex-l-navi/1737099412,,Kijiji
22,2018,Honda,Odyssey,Unknown,1,30990,No change noted,Up $200 over 6 weeks,6,30790,30990,0,200,86396,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1737259923,bedford,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/bedford/2018-honda-odyssey-ex-l-navi/1737259923,,Kijiji
23,2018,Honda,Odyssey,Unknown,1,31499,No change noted,"Down $1,400 over 3 weeks",3,32899,31499,0,-1400,86972,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740152118,grande-prairie,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2018-honda-odyssey-lx-low-kms-command-start-power-heated/1740152118,,Kijiji
24,2018,Honda,Odyssey,Unknown,1,32987,No change noted,Unchanged for 4 weeks,4,32987,32987,0,0,93243,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1739545558,burnaby-new-westminster,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/burnaby-new-westminster/2018-honda-odyssey-touring/1739545558,,Kijiji
25,2018,Honda,Odyssey,Unknown,1,32990,No change noted,Unchanged for 3 weeks,3,32990,32990,0,0,77362,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740070791,city-of-toronto,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-honda-odyssey-touring/1740070791,,Kijiji
26,2018,Honda,Odyssey,Unknown,1,32990,No change noted,Unchanged for 3 weeks,3,32990,32990,0,0,77362,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740070916,ottawa,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-honda-odyssey-touring/1740070916,,Kijiji
27,2018,Honda,Odyssey,Unknown,1,32990,No change noted,Unchanged for 3 weeks,3,32990,32990,0,0,77362,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",,disabled_unverified_location,1740071420,canada,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/canada/2018-honda-odyssey-touring/1740071420,,Kijiji
