rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2023,Kia,Carnival,LX+ FWD | Heated Seats | Remote Start | Wireless C,1,19856,No change noted,Down $562 over 3 weeks,3,20418,19856,0,-562,253829,Unknown,Gasoline,Accident reported,N/A,Kia Red Deer,Dealer,"2949 50 Ave, Red Deer, AB, T4R1H1","Red Deer, AB",3,address,6196d15e-d1a8-472a-bf16-7897f9799bf9,https://www.autotrader.ca/offers/kia-carnival-lx+-fwd-heated-seats-remote-start-wireless-c-gasoline-grey-cat_ma39gr200750-6196d15e-d1a8-472a-bf16-7897f9799bf9,0.5994768082590015,AutoTrader
2,2022,Kia,Carnival,LX,1,26999,No change noted,Unchanged for 1 weeks,1,26999,26999,0,0,111585,3.5L,Gasoline,Unknown,N/A,Northside Nissan,Dealer,"13855 Manning Drive, Edmonton, AB, T5Y 3B2","Edmonton, AB",172,address,70a525e4-e08e-4715-af8f-fee9da61c2e5,https://www.autotrader.ca/offers/kia-carnival-lx-gasoline-silver-cat_ma39gr200750-70a525e4-e08e-4715-af8f-fee9da61c2e5,0.6096039369121298,AutoTrader
3,2022,Kia,Carnival,EX,1,27995,No change noted,Unchanged for 1 weeks,1,27995,27995,0,0,129116,3.5L,Gasoline,Unknown,N/A,Kia West Edmonton,Dealer,"10151 - 179 Street NW, EDMONTON, AB, T5S 1P9","EDMONTON, AB",163,address,1bb23d5d-152b-4f27-b1b0-ed7e6192b23f,https://www.autotrader.ca/offers/kia-carnival-ex-gasoline-white-cat_ma39gr200750tr3296-1bb23d5d-152b-4f27-b1b0-ed7e6192b23f,0.634162440542772,AutoTrader
4,2022,Kia,Carnival,SX | LEATHER | 7 PASSENGER | NAV | SUNROOF,1,26987,No change noted,"Down $1,000 over 3 weeks",3,27987,26987,0,-1000,148376,3.5L,Gasoline,Accident reported,N/A,North Edmonton Kia,Dealer,"13634 St. Albert Trail NW, Edmonton, AB, T5L 4P3","Edmonton, AB",173,address,017f1dc6-f075-4ce8-85d9-990e6a8d2642,https://www.autotrader.ca/offers/kia-carnival-sx-leather-7-passenger-nav-sunroof-gasoline-grey-cat_ma39gr200750tr13918-017f1dc6-f075-4ce8-85d9-990e6a8d2642,0.6386356221273713,AutoTrader
5,2023,Kia,Carnival,LX,1,30500,No change noted,Unchanged for 1 weeks,1,30500,30500,0,0,110073,Unknown,Gasoline,Unknown,N/A,North Edmonton Kia,Dealer,"13634 St. Albert Trail NW, Edmonton, AB, T5L 4P3","Edmonton, AB",173,address,8afa03a6-27ca-43c1-9144-531bd72cbe8c,https://www.autotrader.ca/offers/kia-carnival-lx-gasoline-cat_ma39gr200750-8afa03a6-27ca-43c1-9144-531bd72cbe8c,0.6524912617087038,AutoTrader
6,2022,Kia,Carnival,SX PRISTINE,1,38988,No change noted,"Down $2,011 over 3 weeks",3,40999,38988,0,-2011,78138,Unknown,Gasoline,No accidents reported,N/A,LA Mazda,Dealer,"6217 50th Street, LEDUC, AB, T9E 7A9","LEDUC, AB",122,city_center,8c06a7e9-242f-4442-aadf-51acef1956fd,https://www.autotrader.ca/offers/kia-carnival-sx-pristine-gasoline-grey-cat_ma39gr200750tr13918-8c06a7e9-242f-4442-aadf-51acef1956fd,0.7238683189723635,AutoTrader
7,2022,Kia,Carnival,SX | BROWN LEATHER | LOW KM | CERTIFIED | FULL LOA,1,37906,"Reduced from $ 38,906,-","Down $1,000 over 3 weeks",3,38906,38906,-1000,-1000,87796,3.5L,Gasoline,Unknown,N/A,Sherwood Kia,Dealer,"30 Broadway Blvd, Sherwood Park, AB, T8H 2A2","Sherwood Park, AB",163,address,10a8da25-1d57-4d3f-9914-0cc092684c3d,https://www.autotrader.ca/offers/kia-carnival-sx-brown-leather-low-km-certified-full-loa-gasoline-white-cat_ma39gr200750tr13918-10a8da25-1d57-4d3f-9914-0cc092684c3d,0.725840447945136,AutoTrader
8,2022,Kia,Carnival,"LX  SUV Styling, Minivan Space, Smart Tech",1,28995,No change noted,"Down $1,000 over 5 weeks",5,29995,28995,0,-1000,98537,3.5L,Gasoline,Accident reported,N/A,Vernon Kia,Dealer,"6365 Highway 97, Vernon, BC, V1B 3R4","Vernon, BC",699,address,4acf6f47-dbb2-4a37-9afe-e3d58dd53e12,https://www.autotrader.ca/offers/kia-carnival-lx-suv-styling-minivan-space-smart-tech-gasoline-grey-cat_ma39gr200750tr5309-4acf6f47-dbb2-4a37-9afe-e3d58dd53e12,0.7262116126040409,AutoTrader
9,2023,Kia,Carnival,LX,1,35989,No change noted,Unchanged for 1 weeks,1,35989,35989,0,0,61983,Unknown,Gasoline,Unknown,N/A,Salmon Arm GM,Dealer,"3901 11th Ave NE, SALMON ARM, BC, V1E 2S2","SALMON ARM, BC",648,city_center,7e61c1ad-4f39-4a9a-80cf-83e5ec6b1f94,https://www.autotrader.ca/offers/kia-carnival-lx-gasoline-black-cat_ma39gr200750tr5309-7e61c1ad-4f39-4a9a-80cf-83e5ec6b1f94,0.7752217749842483,AutoTrader
10,2023,Kia,Carnival,LX,1,34995,No change noted,Unchanged for 3 weeks,3,34995,34995,0,0,61983,3.5L,Gasoline,No accidents reported,N/A,Unknown,Dealer,,"Peachland, BC",776,city_center,41eba304-1bad-46a1-a208-0e9abec6da55,https://www.autotrader.ca/offers/kia-carnival-lx-gasoline-cat_ma39gr200750-41eba304-1bad-46a1-a208-0e9abec6da55,0.787504155339966,AutoTrader
11,2023,Kia,Carnival,SX  - Sunroof -  Cooled Seats,1,39888,No change noted,Unchanged for 1 weeks,1,39888,39888,0,0,88162,3.5L,Gasoline,Accident reported,N/A,Vernon Dodge Jeep,Dealer,"4607 - 27th St, VERNON, BC, V1T4Y8","VERNON, BC",698,address,21f54764-f8c7-4f35-8e32-6bd72a614cb2,https://www.autotrader.ca/offers/kia-carnival-sx-sunroof-cooled-seats-gasoline-white-cat_ma39gr200750tr13918-21f54764-f8c7-4f35-8e32-6bd72a614cb2,0.8543883443042039,AutoTrader
