rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2022,Kia,Carnival,Unknown,1,23441,No change noted,Down $370 over 1 weeks,1,23811,23811,-370,-370,151052,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738912799,https://www.kijiji.ca/v-cars-trucks/moncton/2022-kia-carnival-lx-heated-seats-7-passenger-climate-control/1738912799,0.6692511597451761,Kijiji
2,2022,Kia,Carnival,Unknown,1,27999,No change noted,First seen this week,0,27999,27999,0,0,97000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739386505,https://www.kijiji.ca/v-cars-trucks/ottawa/2022-kia-carnival/1739386505,0.6694895463727508,Kijiji
3,2022,Kia,Carnival,Unknown,1,24000,No change noted,Unchanged for 1 weeks,1,24000,24000,0,0,156000,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1739260936,https://www.kijiji.ca/v-cars-trucks/ottawa/kia-carnaval-2022/1739260936,0.682790193979638,Kijiji
4,2023,Kia,Carnival,Unknown,1,25999,No change noted,First seen this week,0,25999,25999,0,0,136211,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738554316,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2023-kia-carnival-lx/1738554316,0.6874651728372668,Kijiji
5,2022,Kia,Carnival,Unknown,1,27112,No change noted,Down $140 over 1 weeks,1,27252,27252,-140,-140,116321,Unknown,Gas,Unknown,N/A,Unknown,Unknown,"High River, AB","High River, AB",209,address,1732641797,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2022-kia-carnival-lx-backup-cam-keyless-entry/1732641797,0.7022341088516111,Kijiji
6,2023,Kia,Carnival,Unknown,1,30390,No change noted,First seen this week,0,30390,30390,0,0,97482,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738518949,https://www.kijiji.ca/v-cars-trucks/bedford/2023-kia-carnival-lx/1738518949,0.7032649623475279,Kijiji
7,2023,Kia,Carnival,Unknown,1,30390,No change noted,Up $200 over 1 weeks,1,30190,30190,200,200,97482,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738418947,https://www.kijiji.ca/v-cars-trucks/ottawa/2023-kia-carnival-lx/1738418947,0.7032649623475279,Kijiji
8,2023,Kia,Carnival,Unknown,1,30390,No change noted,First seen this week,0,30390,30390,0,0,97482,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738418761,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2023-kia-carnival-lx/1738418761,0.7032649623475279,Kijiji
9,2023,Kia,Carnival,Unknown,1,24950,No change noted,Unchanged for 1 weeks,1,24950,24950,0,0,162489,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1736863470,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2023-kia-carnival-lx/1736863470,0.7035588075319194,Kijiji
10,2022,Kia,Carnival,Unknown,1,27495,No change noted,Unchanged for 1 weeks,1,27495,27495,0,0,157319,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Carstairs, AB","Carstairs, AB",91,address,1738701593,https://www.kijiji.ca/v-cars-trucks/london/2022-kia-carnival-lx-8-pass-rear-cam-we-finance-all-credit/1738701593,0.7328778100718892,Kijiji
11,2022,Kia,Carnival,Unknown,1,31996,No change noted,Unchanged for 1 weeks,1,31996,31996,0,0,95765,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739105766,https://www.kijiji.ca/v-cars-trucks/calgary/2022-kia-carnival-lx-plus/1739105766,0.7346386660649129,Kijiji
12,2022,Kia,Carnival,Unknown,1,32690,No change noted,First seen this week,0,32690,32690,0,0,100000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738672187,https://www.kijiji.ca/v-cars-trucks/bedford/2022-kia-carnival-ex/1738672187,0.7381522233602936,Kijiji
13,2022,Kia,Carnival,Unknown,1,34988,No change noted,Unchanged for 1 weeks,1,34988,34988,0,0,86462,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1738513562,https://www.kijiji.ca/v-cars-trucks/calgary/2022-kia-carnival-ex-fresh-trade-certiffied-fuel-efficient-le/1738513562,0.7653438614149715,Kijiji
