rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2012,Ram,3500,laramie,3,21000,No change noted,Unchanged for 1 weeks,1,21000,21000,0,0,307000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739872599,https://www.kijiji.ca/v-cars-trucks/calgary/2012-ram-laramie-3500/1739872599,0.3774000378141927,Kijiji
2,2014,Ram,3500,slt,2,28900,No change noted,Unchanged for 8 weeks,8,28900,28900,0,0,1,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1724485397,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-dodge-ram-3500-4x4-diesel-under-hood-v-mac-compressor/1724485397,0.39082900494739853,Kijiji
3,2012,Ram,3500,laramie,3,21988,No change noted,Unchanged for 1 weeks,1,21988,21988,0,0,315176,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1739738232,https://www.kijiji.ca/v-cars-trucks/calgary/2012-ram-3500-laramie-4wd-more/1739738232,0.3909429519780813,Kijiji
4,2012,Ram,3500,laramie,3,18500,No change noted,First seen this week,0,18500,18500,0,0,400000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1740036447,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-ram-3500-laramie/1740036447,0.3962363063608358,Kijiji
5,2012,Ram,3500,longhorn,3,24500,No change noted,First seen this week,0,24500,24500,0,0,318000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1740095976,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-dodge-ram-3500-longhorn/1740095976,0.41808998038660505,Kijiji
6,2012,Ram,3500,st,1,7500,No change noted,First seen this week,0,7500,7500,0,0,371000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1740032954,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-ram-3500-st/1740032954,0.42390824037169617,Kijiji
7,2014,Ram,3500,slt,2,15999,No change noted,"Down $2,000 over 8 weeks",8,17999,15999,0,-2000,407415,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1727554523,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-ram-3500-4x4-crew-cab-slt-longbox-diesel/1727554523,0.44984929073011576,Kijiji
8,2012,Ram,3500,slt,2,25000,No change noted,"Down $3,500 over 8 weeks",8,28500,25000,0,-3500,224500,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1734915518,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-ram-slt-3500-dually/1734915518,0.4551557682067953,Kijiji
9,2013,Ram,3500,slt,2,26900,No change noted,Down $600 over 5 weeks,5,27500,26900,0,-600,237154,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1738555643,https://www.kijiji.ca/v-cars-trucks/edmonton/2013-ram-3500-slt-rear-cam-bluetooth-touch-display/1738555643,0.47979200045562836,Kijiji
10,2014,Ram,3500,Unknown,1,16000,No change noted,First seen this week,0,16000,16000,0,0,345000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1740003297,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-ram-3500-6-7-l-engine-for-sale-or-trade-with-diesel-dually/1740003297,0.4962284681773157,Kijiji
11,2012,Ram,3500,laramie,3,32400,No change noted,"Down $6,600 over 8 weeks",8,39000,32400,0,-6600,327500,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1737991173,https://www.kijiji.ca/v-cars-trucks/calgary/2012-ram-3500-diesel-6-7-cummins-4x4-and-28-5-citation-supreme/1737991173,0.4997935780961818,Kijiji
12,2014,Ram,3500,limited,3,39999,No change noted,Unchanged for 4 weeks,4,39999,39999,0,0,186972,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1739012064,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-ram-ram-3500-dually-4wd-crewcab-limited/1739012064,0.5116020602276881,Kijiji
13,2014,Ram,3500,laramie,3,42900,No change noted,Unchanged for 1 weeks,1,42900,42900,0,0,154000,Unknown,Diesel,No accidents reported,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739555583,https://www.kijiji.ca/v-cars-trucks/calgary/2014-ram-3500-laramie-crew-cab-diesel-pavement-princess/1739555583,0.5242760397513697,Kijiji
14,2014,Ram,3500,longhorn,3,41999,No change noted,Unchanged for 1 weeks,1,41999,41999,0,0,195562,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1739835206,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-ram-3500-4wd-crew-cab-149-longhorn-limited/1739835206,0.5353652115084492,Kijiji
15,2012,Ram,3500,Unknown,1,21000,No change noted,"Down $1,500 over 4 weeks",4,22500,21000,0,-1500,358648,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1739219981,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-dodge-ram-3500-long-box/1739219981,0.5520459794067412,Kijiji
16,2013,Ram,3500,slt,2,16500,No change noted,First seen this week,0,16500,16500,0,0,391500,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",786,address,1740082579,https://www.kijiji.ca/v-cars-trucks/winnipeg/2013-ram-3500-cummins-serv-truck/1740082579,0.5681251265066453,Kijiji
17,2014,Ram,3500,laramie,3,50447,No change noted,Unchanged for 2 weeks,2,50447,50447,0,0,93333,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1738966959,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-ram-3500-laramie-nav-leather-6-7l-diesel-sunroof/1738966959,0.5722026157293928,Kijiji
18,2014,Ram,3500,laramie,3,27900,No change noted,Unchanged for 8 weeks,8,27900,27900,0,0,380000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",786,address,1735300664,https://www.kijiji.ca/v-cars-trucks/winnipeg/safetied-2014-ram-3500-laramie-6-7l-cummins-turbo-diesel/1735300664,0.6008397677060656,Kijiji
19,2013,Ram,3500,laramie,3,30000,No change noted,Unchanged for 8 weeks,8,30000,30000,0,0,436000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Kelowna, BC","Kelowna, BC",750,address,1737895413,https://www.kijiji.ca/v-cars-trucks/penticton/2013-ram-3500-laramie/1737895413,0.6404715356166255,Kijiji
