rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url_region_hint,url_region_status,url,score,source
1,2012,Ram,3500,Unknown,1,6500,No change noted,Unchanged for 1 weeks,1,6500,6500,0,0,588721,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1740751443,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2011-dodge-3500-diesel-4x4/1740751443,,Kijiji
2,2012,Ram,3500,laramie,3,17900,No change noted,First seen this week,0,17900,17900,0,0,458000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1740926959,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-ram-cummins-3500/1740926959,,Kijiji
3,2012,Ram,3500,Unknown,1,21000,No change noted,"Down $1,500 over 7 weeks",7,22500,21000,0,-1500,358648,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1739219981,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-dodge-ram-3500-long-box/1739219981,,Kijiji
4,2012,Ram,3500,Unknown,1,21500,No change noted,Unchanged for 1 weeks,1,21500,21500,0,0,255000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1740769272,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-ran-3500-diesel-dually-21500-obo/1740769272,,Kijiji
5,2012,Ram,3500,laramie,3,22999,No change noted,Unchanged for 1 weeks,1,22999,22999,0,0,414000,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1740744622,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-ram-ram-3500-4wd-crewcab-laramie/1740744622,,Kijiji
6,2012,Ram,3500,longhorn,3,24500,No change noted,Unchanged for 3 weeks,3,24500,24500,0,0,318000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1740095976,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-dodge-ram-3500-longhorn/1740095976,,Kijiji
7,2012,Ram,3500,laramie,3,32400,No change noted,"Down $6,600 over 11 weeks",11,39000,32400,0,-6600,327500,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1737991173,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2012-ram-3500-diesel-6-7-cummins-4x4-and-28-5-citation-supreme/1737991173,,Kijiji
8,2012,Ram,3500,Unknown,1,38000,No change noted,"Down $5,000 over 8 weeks",8,43000,38000,0,-5000,260000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1738201492,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2012-dodge-larime-mega-cab/1738201492,,Kijiji
9,2013,Ram,3500,slt,2,26900,No change noted,Down $600 over 8 weeks,8,27500,26900,0,-600,237154,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1738555643,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2013-ram-3500-slt-rear-cam-bluetooth-touch-display/1738555643,,Kijiji
10,2014,Ram,3500,slt,2,15999,No change noted,"Down $2,000 over 11 weeks",11,17999,15999,0,-2000,407415,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1727554523,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-ram-3500-4x4-crew-cab-slt-longbox-diesel/1727554523,,Kijiji
11,2014,Ram,3500,laramie,3,27900,No change noted,Unchanged for 10 weeks,10,27900,27900,0,0,380000,6.7L,Diesel,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1735300664,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/safetied-2014-ram-3500-laramie-6-7l-cummins-turbo-diesel/1735300664,,Kijiji
