ranking_status,review_status,source_run_status,source_completed_at_utc,location_status,distance_status,unverified_location_value,unverified_distance_value,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,source
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T15:04:46+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2012,RAM,3500,Laramie,3,39200,No change noted,Unchanged for 4 weeks,4,39200,39200,0,0,127143,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,"KELOWNA, BC",750,city_center,b100527d-c839-4811-a3f7-7450432cc4b9,https://www.autotrader.ca/offers/ram-3500-laramie-diesel-red-cat_ma51793gr201262tr11708-b100527d-c839-4811-a3f7-7450432cc4b9,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T15:04:46+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2013,RAM,3500,LONGHORN | DELETED 6.7L CUMMINS DIESEL | HEATED +,3,27500,No change noted,"Down $2,499 over 8 weeks",8,29999,27500,0,-2499,398933,6.7L,Diesel,Unknown,N/A,Western Dodge Chrysler Jeep,Dealer,"1788 Main Street North, Moose Jaw, SK, S6J 1L4","Moose Jaw, SK",798,address,8eb38da9-8659-466d-983e-2071b1f770bd,https://www.autotrader.ca/offers/ram-3500-longhorn-deleted-6-7l-cummins-diesel-heated-+-diesel-black-cat_ma51793gr201262tr11820-8eb38da9-8659-466d-983e-2071b1f770bd,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T15:04:46+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2014,RAM,3500,ST,1,17000,No change noted,Unchanged for 1 weeks,1,17000,17000,0,0,100000,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,"ISLAY, AB",334,city_center,4a6bdace-9443-4dd5-a97e-7505ad5cb91d,https://www.autotrader.ca/offers/ram-3500-st-diesel-beige-cat_ma51793gr201262tr11705-4a6bdace-9443-4dd5-a97e-7505ad5cb91d,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T15:04:46+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2014,RAM,3500,4WD Crew Cab 149 Longhorn Limited,3,41999,No change noted,Unchanged for 3 weeks,3,41999,41999,0,0,195562,Unknown,Diesel,Unknown,N/A,KINGSWAY AUTO CENTRE,Dealer,"1 - 11130 149 STREET NW, Edmonton, AB, T5M 1W4","Edmonton, AB",154,city_center,63b5fb9b-9a6c-4a46-a000-76b95bc13455,https://www.autotrader.ca/offers/ram-3500-4wd-crew-cab-149-longhorn-limited-diesel-white-cat_ma51793gr201262tr11939-63b5fb9b-9a6c-4a46-a000-76b95bc13455,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T16:47:53+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2012,Ram,3500,laramie,3,32400,No change noted,"Down $6,600 over 10 weeks",10,39000,32400,0,-6600,327500,Unknown,Diesel,Unknown,N/A,Unknown,Private,,,,,1737991173,https://www.kijiji.ca/v-cars-trucks/calgary/2012-ram-3500-diesel-6-7-cummins-4x4-and-28-5-citation-supreme/1737991173,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T16:47:53+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Regina, SK",786,2012,Ram,3500,Unknown,1,38000,No change noted,"Down $5,000 over 7 weeks",7,43000,38000,0,-5000,260000,Unknown,Diesel,Unknown,N/A,Unknown,Private,,,,,1738201492,https://www.kijiji.ca/v-cars-trucks/winnipeg/2012-dodge-larime-mega-cab/1738201492,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T16:47:53+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Edmonton, AB",154,2012,Ram,3500,Unknown,1,21000,No change noted,"Down $1,500 over 6 weeks",6,22500,21000,0,-1500,358648,Unknown,Diesel,Unknown,N/A,Unknown,Private,,,,,1739219981,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-dodge-ram-3500-long-box/1739219981,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T16:47:53+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2012,Ram,3500,laramie,3,21000,No change noted,Unchanged for 3 weeks,3,21000,21000,0,0,307000,Unknown,Diesel,Unknown,N/A,Unknown,Private,,,,,1739872599,https://www.kijiji.ca/v-cars-trucks/calgary/2012-ram-laramie-3500/1739872599,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T16:47:53+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Edmonton, AB",154,2012,Ram,3500,longhorn,3,24500,No change noted,Unchanged for 2 weeks,2,24500,24500,0,0,318000,Unknown,Diesel,Unknown,N/A,Unknown,Private,,,,,1740095976,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-dodge-ram-3500-longhorn/1740095976,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T16:47:53+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Edmonton, AB",154,2012,Ram,3500,laramie,3,22999,No change noted,First seen this week,0,22999,22999,0,0,414000,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1740744622,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-ram-ram-3500-4wd-crewcab-laramie/1740744622,Kijiji
