rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2013,Ram,3500,slt,2,17500,No change noted,391,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",786,address,1737615008,https://www.kijiji.ca/v-cars-trucks/winnipeg/2013-ram-3500-cummins-service-truck-4x4/1737615008,0.41334263079692896,Kijiji
2,2014,Ram,3500,slt,2,28900,No change noted,1,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1724485397,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-dodge-ram-3500-4x4-diesel-under-hood-v-mac-compressor/1724485397,0.41514243743504037,Kijiji
3,2012,Ram,3500,laramie,3,25000,No change noted,306000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1736421187,https://www.kijiji.ca/v-cars-trucks/calgary/2012-ram-laramie-3500/1736421187,0.4307558036385036,Kijiji
4,2013,Ram,3500,slt,2,12999,No change noted,458415,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",154,address,1736817720,https://www.kijiji.ca/v-cars-trucks/edmonton/2013-ram-3500-4x4-crew-cab-slt-diesel/1736817720,0.44416350652548636,Kijiji
5,2012,Ram,3500,Unknown,1,11500,No change noted,341000,Unknown,Diesel,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1737883580,https://www.kijiji.ca/v-cars-trucks/st-albert/2012-ram-3500/1737883580,0.44933780219388797,Kijiji
6,2012,Ram,3500,slt,2,21000,No change noted,275000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1735194131,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-slt-dodge-mega-cab-3500-single-rear-wheel-diesel/1735194131,0.4501743865809932,Kijiji
7,2014,Ram,3500,longhorn,3,27999,No change noted,297000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1737967732,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-ram-3500-long-horn/1737967732,0.4600307408564014,Kijiji
8,2014,Ram,3500,laramie,3,27500,No change noted,315000,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Edmonton, AB","Edmonton, AB",154,address,1697033283,https://www.kijiji.ca/v-cars-trucks/edmonton/2014-ram-3500/1697033283,0.46251829562523505,Kijiji
9,2012,Ram,3500,laramie,3,31000,No change noted,241485,Unknown,Diesel,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1736027183,https://www.kijiji.ca/v-cars-trucks/calgary/2012-ram-longhorn-laramie-3500-the-last-of-the-pre-def-cummins/1736027183,0.4671249479516752,Kijiji
10,2013,Ram,3500,laramie,3,33590,No change noted,194067,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1733286475,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2013-ram-3500-laramie-6-7l/1733286475,0.4727598880415827,Kijiji
