rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2019,Subaru,Forester,2.5i Touring,3,22989,No change noted,Unchanged for 1 weeks,1,22989,22989,0,0,108000,2.5L,Gasoline,Unknown,N/A,Zender Ford,Dealer,"99 Golden Spike Rd & Hwy 16A, SPRUCE GROVE, AB, T7X2Y3","SPRUCE GROVE, AB",178,city_center,dfcd520c-f0ee-42be-841b-8fc803cc490a,https://www.autotrader.ca/offers/subaru-forester-2-5i-touring-gasoline-red-dfcd520c-f0ee-42be-841b-8fc803cc490a,0.4240849469371673,AutoTrader
2,2020,Subaru,Forester,Touring,3,24000,No change noted,Unchanged for 1 weeks,1,24000,24000,0,0,154015,2.5L,Gasoline,Unknown,N/A,Subaru City,Dealer,"17708-111 Ave. NW, Edmonton, AB, T5S 1P5","Edmonton, AB",156,address,81f65223-5396-4223-a958-e67eb00f3692,https://www.autotrader.ca/offers/subaru-forester-touring-gasoline-white-81f65223-5396-4223-a958-e67eb00f3692,0.47344985683277474,AutoTrader
3,2022,Subaru,Forester,"Wilderness - Clean Carfax, Eyesight Package, AWD",3,36495,No change noted,Unchanged for 1 weeks,1,36495,36495,0,0,41741,2.5L,Gasoline,No accidents reported,N/A,Honda Red Deer Sales,Dealer,"1824 - 49 Avenue, RED DEER, AB, T4R2N7","RED DEER, AB",5,address,97da9326-d957-404a-8de5-00c1e26f4191,https://www.autotrader.ca/offers/subaru-forester-wilderness-clean-carfax-eyesight-package-awd-gasoline-blue-97da9326-d957-404a-8de5-00c1e26f4191,0.5057339998112508,AutoTrader
4,2024,Subaru,Forester,"Wilderness - Clean Carfax, Leather, Heated Seats",3,37495,No change noted,Unchanged for 1 weeks,1,37495,37495,0,0,32329,2.5L,Gasoline,No accidents reported,N/A,Honda Red Deer Sales,Dealer,"1824 - 49 Avenue, RED DEER, AB, T4R2N7","RED DEER, AB",5,address,e53eb3c5-c888-44f5-8e7a-a0f2d6f59088,https://www.autotrader.ca/offers/subaru-forester-wilderness-clean-carfax-leather-heated-seats-gasoline-white-e53eb3c5-c888-44f5-8e7a-a0f2d6f59088,0.5102506200620088,AutoTrader
5,2023,Subaru,Forester,Touring  Moonroof,3,31995,"Reduced from $ 32,995,-",Unchanged for 1 weeks,1,31995,31995,0,0,78023,2.5L,Gasoline,Accident reported,N/A,South Trail Nissan,Dealer,"6603 130 Ave SE, Calgary, AB, T2Z5E1","Calgary, AB",167,address,91174c9e-a9c4-4af7-ac2b-86913621ecfb,https://www.autotrader.ca/offers/subaru-forester-touring-moonroof-gasoline-black-91174c9e-a9c4-4af7-ac2b-86913621ecfb,0.5110064398184665,AutoTrader
6,2019,Subaru,Forester,2.5i Limited AWD  Coming Soon | Clean CARFAX,2,23498,No change noted,Unchanged for 1 weeks,1,23498,23498,0,0,102741,2.5L,Gasoline,No accidents reported,N/A,Cam Clark Ford Canmore,Dealer,"308 Bow Valley Trail, Canmore, AB, T1W0L1","Canmore, AB",242,address,9c66d4dd-456c-49ca-b047-493fa567310c,https://www.autotrader.ca/offers/subaru-forester-2-5i-limited-awd-coming-soon--clean-carfax-gasoline-black-9c66d4dd-456c-49ca-b047-493fa567310c,0.5131999658603162,AutoTrader
7,2023,Subaru,Forester,Wilderness | Clean Carfax,3,34995,"Reduced from $ 36,995,-",Unchanged for 1 weeks,1,34995,34995,0,0,58987,2.5L,Gasoline,No accidents reported,N/A,Audi Royal Oak,Dealer,"7770 - 110 ave NW, CALGARY, AB, T3R1R8","CALGARY, AB",145,address,5555473c-db78-45f6-b643-859a63f2fd64,https://www.autotrader.ca/offers/subaru-forester-wilderness--clean-carfax-gasoline-green-5555473c-db78-45f6-b643-859a63f2fd64,0.5284709378194041,AutoTrader
8,2019,Subaru,Forester,Convenience | Heated Seats | Backup Cam | Cruise,1,22000,No change noted,Unchanged for 1 weeks,1,22000,22000,0,0,87013,2.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,96cabc6f-8557-4021-8f67-fb09b37e5ce9,https://www.autotrader.ca/offers/subaru-forester-convenience--heated-seats--backup-cam--cruise-gasoline-green-96cabc6f-8557-4021-8f67-fb09b37e5ce9,0.538489136359582,AutoTrader
9,2020,Subaru,Forester,Sport,2,24000,No change noted,Unchanged for 1 weeks,1,24000,24000,0,0,151938,2.5L,Gasoline,Unknown,N/A,Subaru City,Dealer,"17708-111 Ave. NW, Edmonton, AB, T5S 1P5","Edmonton, AB",156,address,48e6de34-58c9-48e6-b4a4-57ac3c8d2d90,https://www.autotrader.ca/offers/subaru-forester-sport-gasoline-silver-48e6de34-58c9-48e6-b4a4-57ac3c8d2d90,0.546617026490917,AutoTrader
10,2020,Subaru,Forester,Limited,2,25995,No change noted,First seen this week,0,25995,25995,0,0,130400,2.5L,Gasoline,Unknown,N/A,Double L Motors,Dealer,"1509 - 9 Avenue SE, Calgary, AB, T2G0T6","Calgary, AB",149,address,a9a1b340-af10-4bbf-ac12-76dba7e09ea1,https://www.autotrader.ca/offers/subaru-forester-limited-gasoline-black-a9a1b340-af10-4bbf-ac12-76dba7e09ea1,0.5518536312142746,AutoTrader
