rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2019,Subaru,Forester,2.5i Touring,3,22989,No change noted,108000,2.5L,Gasoline,Unknown,N/A,Zender Ford,Dealer,"99 Golden Spike Rd & Hwy 16A, SPRUCE GROVE, AB, T7X2Y3","SPRUCE GROVE, AB",178,city_center,dfcd520c-f0ee-42be-841b-8fc803cc490a,https://www.autotrader.ca/offers/subaru-forester-2-5i-touring-gasoline-red-dfcd520c-f0ee-42be-841b-8fc803cc490a,0.45160305185869176,AutoTrader
2,2020,Subaru,Forester,Touring,3,24000,No change noted,154015,2.5L,Gasoline,Unknown,N/A,Subaru City,Dealer,"17708-111 Ave. NW, Edmonton, AB, T5S 1P5","Edmonton, AB",156,address,81f65223-5396-4223-a958-e67eb00f3692,https://www.autotrader.ca/offers/subaru-forester-touring-gasoline-white-81f65223-5396-4223-a958-e67eb00f3692,0.5081867648106505,AutoTrader
3,2022,Subaru,Forester,"Wilderness - Clean Carfax, Eyesight Package, AWD",3,36495,No change noted,41741,2.5L,Gasoline,No accidents reported,N/A,Honda Red Deer Sales,Dealer,"1824 - 49 Avenue, RED DEER, AB, T4R2N7","RED DEER, AB",5,address,97da9326-d957-404a-8de5-00c1e26f4191,https://www.autotrader.ca/offers/subaru-forester-wilderness-clean-carfax-eyesight-package-awd-gasoline-blue-97da9326-d957-404a-8de5-00c1e26f4191,0.5305321524869634,AutoTrader
4,2024,Subaru,Forester,"Wilderness - Clean Carfax, Leather, Heated Seats",3,37495,No change noted,32329,2.5L,Gasoline,No accidents reported,N/A,Honda Red Deer Sales,Dealer,"1824 - 49 Avenue, RED DEER, AB, T4R2N7","RED DEER, AB",5,address,e53eb3c5-c888-44f5-8e7a-a0f2d6f59088,https://www.autotrader.ca/offers/subaru-forester-wilderness-clean-carfax-leather-heated-seats-gasoline-white-e53eb3c5-c888-44f5-8e7a-a0f2d6f59088,0.5341912539041768,AutoTrader
5,2023,Subaru,Forester,Touring  Moonroof,3,31995,"Reduced from $ 32,995,-",78023,2.5L,Gasoline,Accident reported,N/A,South Trail Nissan,Dealer,"6603 130 Ave SE, Calgary, AB, T2Z5E1","Calgary, AB",166,address,91174c9e-a9c4-4af7-ac2b-86913621ecfb,https://www.autotrader.ca/offers/subaru-forester-touring-moonroof-gasoline-black-91174c9e-a9c4-4af7-ac2b-86913621ecfb,0.5385882055707752,AutoTrader
6,2019,Subaru,Forester,2.5i Limited AWD  Coming Soon | Clean CARFAX,2,23498,No change noted,102741,2.5L,Gasoline,No accidents reported,N/A,Cam Clark Ford Canmore,Dealer,"308 Bow Valley Trail, Canmore, AB, T1W0L1","Canmore, AB",242,address,9c66d4dd-456c-49ca-b047-493fa567310c,https://www.autotrader.ca/offers/subaru-forester-2-5i-limited-awd-coming-soon--clean-carfax-gasoline-black-9c66d4dd-456c-49ca-b047-493fa567310c,0.540213406086779,AutoTrader
7,2023,Subaru,Forester,WILDERNESS / NO ACCIDENTS,3,31499,No change noted,105118,2.5L,Gasoline,No accidents reported,N/A,Go Honda,Dealer,"10220 184 Street, EDMONTON, AB, T5S0B9","EDMONTON, AB",163,address,92b54599-2e6f-4b6a-a7e7-a6096988832e,https://www.autotrader.ca/offers/subaru-forester-wilderness-no-accidents-gasoline-blue-92b54599-2e6f-4b6a-a7e7-a6096988832e,0.5592557662735268,AutoTrader
8,2019,Subaru,Forester,Convenience | Heated Seats | Backup Cam | Cruise,1,22000,No change noted,87013,2.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,96cabc6f-8557-4021-8f67-fb09b37e5ce9,https://www.autotrader.ca/offers/subaru-forester-convenience--heated-seats--backup-cam--cruise-gasoline-green-96cabc6f-8557-4021-8f67-fb09b37e5ce9,0.562444029499311,AutoTrader
9,2020,Subaru,Forester,Sport,2,27288,No change noted,101830,2.5L,Gasoline,Accident reported,N/A,Wheaton Honda,Dealer,"9688 - 34th Avenue, EDMONTON, AB, T6E6S9","EDMONTON, AB",154,city_center,05ca848f-02fb-4a89-a3c1-20efa1857ab5,https://www.autotrader.ca/offers/subaru-forester-sport-gasoline-grey-05ca848f-02fb-4a89-a3c1-20efa1857ab5,0.573001637599768,AutoTrader
10,2020,Subaru,Forester,Sport,2,24000,No change noted,151938,2.5L,Gasoline,Unknown,N/A,Subaru City,Dealer,"17708-111 Ave. NW, Edmonton, AB, T5S 1P5","Edmonton, AB",156,address,48e6de34-58c9-48e6-b4a4-57ac3c8d2d90,https://www.autotrader.ca/offers/subaru-forester-sport-gasoline-silver-48e6de34-58c9-48e6-b4a4-57ac3c8d2d90,0.581051504225587,AutoTrader
11,2020,Subaru,Forester,Limited,2,25995,No change noted,130400,2.5L,Gasoline,Unknown,N/A,Double L Motors,Dealer,"1509 - 9 Avenue SE, Calgary, AB, T2G0T6","Calgary, AB",149,address,a9a1b340-af10-4bbf-ac12-76dba7e09ea1,https://www.autotrader.ca/offers/subaru-forester-limited-gasoline-black-a9a1b340-af10-4bbf-ac12-76dba7e09ea1,0.5841753232249366,AutoTrader
12,2020,Subaru,Forester,"Convenience, Heated Seats, AWD",1,23887,No change noted,95475,2.5L,Gasoline,No accidents reported,N/A,Spruce Grove Nissan,Dealer,"330 St. Matthews Ave., Spruce Grove, AB, T7X 3A6","Spruce Grove, AB",172,address,31e5b92d-c85d-4cb9-ad0e-d2fd2bd06286,https://www.autotrader.ca/offers/subaru-forester-convenience-heated-seats-awd-gasoline-black-31e5b92d-c85d-4cb9-ad0e-d2fd2bd06286,0.5995551543513937,AutoTrader
13,2020,Subaru,Forester,2.5i Convenience,1,26888,No change noted,60333,2.5L,Gasoline,Unknown,N/A,Ezway Auto Group,Dealer,"9704 27 Avenue Northwest, Edmonton, AB, T6N 1B2","Edmonton, AB",154,city_center,301cbc85-1d0c-41f8-a7dc-a60da1e5ee93,https://www.autotrader.ca/offers/subaru-forester-2-5i-convenience-gasoline-blue-301cbc85-1d0c-41f8-a7dc-a60da1e5ee93,0.6000065875244448,AutoTrader
14,2020,Subaru,Forester,"Sport, Sunroof, Heated Seats, AWD",2,31897,No change noted,68907,2.5L,Gasoline,No accidents reported,N/A,Spruce Grove Nissan,Dealer,"330 St. Matthews Ave., Spruce Grove, AB, T7X 3A6","Spruce Grove, AB",172,address,34a25362-3f13-48d6-90fd-726331f86c1f,https://www.autotrader.ca/offers/subaru-forester-sport-sunroof-heated-seats-awd-gasoline-black-34a25362-3f13-48d6-90fd-726331f86c1f,0.60405615444773,AutoTrader
15,2020,Subaru,Forester,Limited| LANE DEPARTURE WARNING | HEATED SEATS |,2,26900,No change noted,133901,2.5L,Gasoline,Unknown,N/A,St. Albert Dodge,Dealer,"1155 St. Albert Trail, ST ALBERT, AB, T8N7X1","ST ALBERT, AB",181,address,efed0586-22b6-4d1b-8b1e-b723e4fa20f8,https://www.autotrader.ca/offers/subaru-forester-limited-lane-departure-warning--heated-seats--gasoline-green-efed0586-22b6-4d1b-8b1e-b723e4fa20f8,0.605957452965594,AutoTrader
16,2019,Subaru,Forester,Convenience,1,21888,No change noted,146259,2.5L,Gasoline,Unknown,N/A,Fish Creek Nissan,Dealer,"14750 Macleod Trail South, CALGARY, AB, T2Y2E7","CALGARY, AB",149,city_center,b7b33528-7c28-4b14-8e0c-20fb32a6a766,https://www.autotrader.ca/offers/subaru-forester-convenience-gasoline-grey-b7b33528-7c28-4b14-8e0c-20fb32a6a766,0.620711871480563,AutoTrader
17,2024,Subaru,Forester,Sport | AWD | APPLE CARLPAY | HEATED SEATS,2,36500,No change noted,34200,2.5L,Gasoline,Unknown,N/A,North Edmonton Kia,Dealer,"13634 St. Albert Trail NW, Edmonton, AB, T5L 4P3","Edmonton, AB",175,address,c89731df-a393-4825-8d42-eb459a168322,https://www.autotrader.ca/offers/subaru-forester-sport--awd--apple-carlpay--heated-seats-gasoline-blue-c89731df-a393-4825-8d42-eb459a168322,0.6303303767580176,AutoTrader
18,2021,Subaru,Forester,Limited,2,31101,No change noted,44214,2.5L,Gasoline,Accident reported,N/A,Grande Prairie Subaru,Dealer,"11445 104th Ave., GRANDE PRAIRIE, AB, T8V0N7","GRANDE PRAIRIE, AB",579,city_center,698237cb-5a45-46d1-a7a9-82e68c345494,https://www.autotrader.ca/offers/subaru-forester-limited-gasoline-blue-698237cb-5a45-46d1-a7a9-82e68c345494,0.6458264590625125,AutoTrader
19,2022,Subaru,Forester,Convenience CarPlay Dual Zone Climate Control,1,27977,No change noted,100939,2.5L,Gasoline,Unknown,N/A,Go Auto Sherwood Park,Dealer,"2335 Broadmoor Blvd, Sherwood Park, AB, T8H 1N1","Sherwood Park, AB",165,address,44c9d1f5-695e-4299-b980-d8aa207447cc,https://www.autotrader.ca/offers/subaru-forester-convenience-carplay-dual-zone-climate-control-gasoline-silver-44c9d1f5-695e-4299-b980-d8aa207447cc,0.6583754472813588,AutoTrader
20,2020,Subaru,Forester,AWD PREMIERE,1,20999,No change noted,194543,2.5L,Gasoline,No accidents reported,N/A,Northside Nissan,Dealer,"13855 Manning Drive, Edmonton, AB, T5Y 3B2","Edmonton, AB",172,address,00706ea6-2a00-4676-ae1c-95e619ec84e9,https://www.autotrader.ca/offers/subaru-forester-awd-premiere-gasoline-blue-00706ea6-2a00-4676-ae1c-95e619ec84e9,0.6628902452386433,AutoTrader
21,2021,Subaru,Forester,Convenience,1,23995,No change noted,168355,2.5L,Gasoline,Unknown,N/A,Double L Motors,Dealer,"1509 - 9 Avenue SE, Calgary, AB, T2G0T6","Calgary, AB",149,address,78d5b081-cb7c-40b3-8aa4-d5cab3c976a5,https://www.autotrader.ca/offers/subaru-forester-convenience-gasoline-green-78d5b081-cb7c-40b3-8aa4-d5cab3c976a5,0.671524751711092,AutoTrader
