rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
1,2022,Subaru,Forester,touring,3,26888,No change noted,32750,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1727499601,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2022-subaru-forester-touring-pkg-blind-spot-monitor-reverse/1727499601,0.3829646525625043,Kijiji
2,2019,Subaru,Forester,touring,3,23990,No change noted,72000,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737519693,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2019-subaru-forester-touring-w-eyesight/1737519693,0.383100469085333,Kijiji
3,2019,Subaru,Forester,touring,3,23990,No change noted,72000,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737510559,https://www.kijiji.ca/v-cars-trucks/bedford/2019-subaru-forester-touring-w-eyesight/1737510559,0.383100469085333,Kijiji
4,2019,Subaru,Forester,touring,3,23990,No change noted,72000,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737519576,https://www.kijiji.ca/v-cars-trucks/ottawa/2019-subaru-forester-touring-w-eyesight/1737519576,0.383100469085333,Kijiji
5,2019,Subaru,Forester,touring,3,22977,No change noted,95255,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1724119727,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2019-subaru-forester-2-5i-touring-w-eye-sight-pkg-no-accidents/1724119727,0.39156211503984445,Kijiji
6,2019,Subaru,Forester,touring,3,22989,No change noted,108000,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Camrose, AB","Camrose, AB",141,address,1737165785,https://www.kijiji.ca/v-cars-trucks/st-albert/2019-subaru-forester-2-5i-touring-w-eyesight-pkg-for-sale/1737165785,0.39589061638699635,Kijiji
7,2021,Subaru,Forester,touring,3,26899,No change noted,49574,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737660548,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2021-subaru-forester-2-5i-touring/1737660548,0.3979417954448598,Kijiji
8,2022,Subaru,Forester,touring,3,23101,No change noted,112038,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737504633,https://www.kijiji.ca/v-cars-trucks/moncton/2022-subaru-forester-touring-awd-back-up-camera-heated-seats/1737504633,0.4078483159288409,Kijiji
9,2023,Subaru,Forester,touring,3,23998,No change noted,106000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737294225,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2023-subaru-forester-touring-carfax-power-seat-sunroof-awd/1737294225,0.41319870748060117,Kijiji
10,2022,Subaru,Forester,touring,3,23793,No change noted,108930,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1736683708,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2022-subaru-forester-touring-camera-de-recul-banc-chauffant/1736683708,0.41334378396303934,Kijiji
11,2023,Subaru,Forester,touring,3,28899,No change noted,46548,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1733601311,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-subaru-forester-touring-touring-one-owner-low-km-a/1733601311,0.4190810522276809,Kijiji
12,2020,Subaru,Forester,touring,3,24900,No change noted,107336,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1732945400,https://www.kijiji.ca/v-cars-trucks/st-catharines/2020-subaru-forester-2-5i-touring/1732945400,0.4251157441422505,Kijiji
13,2023,Subaru,Forester,touring,3,31295,No change noted,23776,Unknown,Gas,Accident reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1736385020,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-touring-eyesight-cvt/1736385020,0.4275099110799527,Kijiji
14,2023,Subaru,Forester,touring,3,29990,No change noted,49328,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737579299,https://www.kijiji.ca/v-cars-trucks/fredericton/2023-subaru-forester-touring/1737579299,0.43452233396089623,Kijiji
15,2019,Subaru,Forester,sport,2,21488,No change noted,80201,Unknown,Gas,Accident reported,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737189746,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/subaru-forester-2-5i-sport-eyesight-2019/1737189746,0.4355516549602231,Kijiji
16,2023,Subaru,Forester,touring,3,33343,No change noted,10163,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737925470,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-touring-cvt/1737925470,0.4398781916054842,Kijiji
17,2021,Subaru,Forester,touring,3,19995,No change noted,191850,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737823176,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-touring-awd-clean-loaded-new-inspecti/1737823176,0.44130152133341505,Kijiji
18,2021,Subaru,Forester,touring,3,22995,No change noted,154400,Unknown,Gas,Unknown,N/A,Unknown,Private,"Spruce Grove, AB","Spruce Grove, AB",178,address,1737713877,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-2-5i-touring-awd-clean-loaded-priced/1737713877,0.44396838465840294,Kijiji
